name,semester,status,credits,embedding,teaches_skills,prerequisites_for,prerequisites_required
Database Management,even,mandatory,3,"[-0.0096280537545681, -0.10354521870613098, -0.25491857528686523, 0.3306005001068115, -0.02690834365785122, -0.11896379292011261, -0.25335586071014404, 0.21758145093917847, -0.20872291922569275, -0.15635550022125244, -0.23925095796585083, -0.28704988956451416, -0.07722140848636627, -0.0747397318482399, -0.21573857963085175, 0.15658880770206451, -0.2336265742778778, 0.11819583922624588, 0.04722202941775322, -0.06496548652648926, -0.10392746329307556, -0.22116392850875854, 0.22304391860961914, 0.009419923648238182, 0.23033489286899567, 0.08850113302469254, 0.014171705581247807, 0.013465804979205132, -0.26981961727142334, 0.26998576521873474, -0.0673442929983139, -0.12132734060287476, -0.21932917833328247, -0.22649750113487244, 0.24901434779167175, -0.050033219158649445, -0.06658254563808441, 0.08800360560417175, 0.13581779599189758, 0.35777464509010315, -0.19153138995170593, -0.07982435077428818, -0.06788072735071182, 0.07227832078933716, -0.022053904831409454, -0.28517287969589233, -0.1747736930847168, 0.08947925269603729, -0.16213993728160858, 0.14406222105026245, -0.11883646994829178, 0.013203132897615433, 0.0005922913551330566, -0.12967582046985626, 0.0015937942080199718, -0.009500710293650627, 0.010285971686244011, -0.220377117395401, -0.15543490648269653, -0.018351253122091293, 0.06857744604349136, 0.16617807745933533, -0.290901243686676, 0.23791208863258362, -0.1066751703619957, -0.20489314198493958, 0.20962798595428467, 0.04902419447898865, -0.013786116614937782, 0.014932027086615562, -0.20463022589683533, 0.03448539599776268, 0.08161887526512146, 0.16497617959976196, -0.04304080829024315, -0.1203337013721466, -0.16199684143066406, 0.33292531967163086, -0.13420061767101288, 0.20015829801559448, -0.016630122438073158, -0.17922857403755188, -0.06432642787694931, 0.10073211789131165, -0.25777170062065125, -0.025810521095991135, -0.011617094278335571, 0.048439424484968185, -0.00396509375423193, -0.0031643169932067394, 0.03087366372346878, -0.006471725180745125, -0.03654414787888527, -0.26617923378944397, -0.10903871059417725, 0.13218244910240173, 0.09951473027467728, -0.09177417308092117, -0.0967017412185669, 0.0030367448925971985, -0.23486925661563873, -0.2606934905052185, -0.07209490239620209, -0.014258824288845062, -0.14891663193702698, -0.214737206697464, -0.011501933448016644, -0.28000929951667786, -0.13090741634368896, 0.021211013197898865, -0.11089850962162018, 0.00009654462337493896, 0.17486262321472168, 0.08384709060192108, 0.25886815786361694, -0.2046673595905304, 0.0917772725224495, -0.11486336588859558, 0.10201336443424225, 0.05874090641736984, 0.10871195793151855, -0.09584642946720123, 0.060992639511823654, -0.0039573367685079575, 0.18320009112358093, -0.1749478280544281, 0.0034269876778125763, 0.21127749979496002]","[SQL, Database Management, Oracle]",[System Audit],[Database System]
Database System,odd,mandatory,4,"[-0.053598448634147644, -0.10088952630758286, -0.318268358707428, 0.3768464922904968, 0.011983426287770271, -0.15774309635162354, -0.20997679233551025, 0.22592797875404358, -0.22554591298103333, -0.138419508934021, -0.1732792854309082, -0.2960355877876282, -0.1371886283159256, -0.11577210575342178, -0.251438707113266, 0.1509905308485031, -0.20244744420051575, 0.11545510590076447, 0.005328839644789696, -0.060129210352897644, -0.12829066812992096, -0.26375526189804077, 0.17963963747024536, -0.005681287497282028, 0.28913944959640503, 0.12998244166374207, 0.030647506937384605, -0.002905977889895439, -0.2315535843372345, 0.24673651158809662, -0.059714239090681076, -0.1739877462387085, -0.13399867713451385, -0.20724081993103027, 0.2543447017669678, -0.0388399139046669, -0.030236078426241875, 0.042591728270053864, 0.1142076626420021, 0.43023616075515747, -0.15579041838645935, -0.12387272715568542, -0.041314687579870224, 0.07973344624042511, 0.013060562312602997, -0.26649779081344604, -0.2433083951473236, 0.03897057846188545, -0.15010914206504822, 0.17038968205451965, -0.12396462261676788, 0.02126675471663475, 0.04648658633232117, -0.14806532859802246, -0.08856934309005737, -0.017468998208642006, -0.009844539687037468, -0.14050273597240448, -0.1359151303768158, 0.0692395567893982, 0.056449078023433685, 0.1322808414697647, -0.3036922812461853, 0.22099056839942932, -0.08315568417310715, -0.21304656565189362, 0.16803540289402008, 0.08249253034591675, -0.03465402498841286, 0.002752560656517744, -0.2083476334810257, 0.0072098225355148315, 0.07301060110330582, 0.1479443907737732, -0.04796629771590233, -0.04810667783021927, -0.1945096105337143, 0.29477500915527344, -0.10669463872909546, 0.12468928843736649, 0.005044868215918541, -0.22702831029891968, -0.14199195802211761, 0.07230835407972336, -0.2917121648788452, -0.07061723619699478, 0.032707538455724716, 0.02617058902978897, 0.003918264526873827, 0.0381869301199913, 0.03726321458816528, -0.021997947245836258, -0.05594939738512039, -0.24354322254657745, -0.03420967981219292, 0.19043827056884766, 0.02952433004975319, -0.021612586453557014, -0.12562967836856842, -0.0011657041031867266, -0.2807445824146271, -0.19980919361114502, -0.10594059526920319, -0.05072537809610367, -0.11112551391124725, -0.22813501954078674, -0.04374418407678604, -0.2915036678314209, -0.06461542099714279, -0.0325903482735157, -0.11511579155921936, 0.014716438949108124, 0.14723938703536987, 0.038131263107061386, 0.2363111674785614, -0.21493341028690338, 0.14563916623592377, -0.16867512464523315, 0.07571038603782654, 0.09671591222286224, 0.10979016125202179, -0.07607319951057434, 0.01679966412484646, 0.0198199562728405, 0.13974834978580475, -0.19810768961906433, -0.03571546822786331, 0.1649363487958908]","[SQL, Database Management, Oracle]","[Web Programming, Database Management]",[]
Deep Learning,even,elective,3,"[-0.0973113551735878, 0.05864439904689789, 0.1557047814130783, 0.06666743755340576, 0.22971169650554657, 0.004668660461902618, -0.049859821796417236, -0.06608019769191742, -0.06220545992255211, 0.16305260360240936, -0.01525634340941906, -0.08547233045101166, 0.053558673709630966, -0.14031006395816803, 0.23880815505981445, 0.15839411318302155, -0.1215614378452301, -0.35686787962913513, 0.1482631266117096, 0.019993368536233902, 0.10308938473463058, -0.23875299096107483, -0.0074623869732022285, 0.42455536127090454, 0.12291127443313599, 0.24122512340545654, 0.24247276782989502, -0.0904172882437706, 0.05252166837453842, -0.03742728754878044, -0.041783396154642105, 0.024201003834605217, -0.05616733431816101, -0.135722815990448, 0.08828704804182053, 0.12404052913188934, -0.09502744674682617, 0.28541964292526245, 0.14018845558166504, -0.2015858292579651, -0.28834229707717896, -0.2123698592185974, 0.0708823874592781, -0.0034354478120803833, -0.13356764614582062, -0.1289178431034088, -0.12157373130321503, -0.17503738403320312, 0.23904003202915192, 0.18677300214767456, 0.17308804392814636, 0.1470908671617508, 0.15756390988826752, 0.13443930447101593, -0.05142664909362793, -0.05903385579586029, -0.15674220025539398, 0.0887393057346344, 0.05623452365398407, 0.09678662568330765, 0.037906862795352936, 0.10439900308847427, 0.12302220612764359, 0.03540720045566559, 0.11506998538970947, 0.11822086572647095, 0.06774445623159409, -0.03751149773597717, -0.07513345777988434, 0.11558160185813904, 0.09197379648685455, 0.14746229350566864, 0.19823512434959412, -0.08096259832382202, -0.2120855450630188, 0.05955682694911957, -0.0625767707824707, -0.09326435625553131, -0.07131548970937729, 0.09947410225868225, -0.10092410445213318, 0.07752560079097748, -0.16836240887641907, -0.03520295396447182, 0.09695383161306381, -0.06483970582485199, -0.1171303391456604, -0.17745447158813477, 0.002643777057528496, 0.25338390469551086, -0.28371137380599976, -0.18197429180145264, -0.018061954528093338, -0.07455633580684662, 0.027196375653147697, 0.22667089104652405, 0.0422472283244133, -0.31246766448020935, -0.09848157316446304, 0.015183234587311745, 0.0012653307057917118, 0.09318520873785019, -0.04850113019347191, -0.3236572742462158, 0.02674935758113861, 0.028388459235429764, -0.2060663104057312, -0.2460411787033081, -0.015382088720798492, 0.2514898180961609, 0.12433860450983047, -0.09337124228477478, 0.311256468296051, 0.05154913663864136, 0.1286526322364807, 0.012886643409729004, 0.1674235463142395, 0.06336916238069534, 0.0008046180009841919, -0.11384756118059158, 0.1761055886745453, 0.25448474287986755, 0.19190698862075806, 0.010461073368787766, 0.045776691287755966, 0.11116357892751694, 0.015433833003044128, -0.17013700306415558]","[Python, TensorFlow, AI/ML]",[],[Machine Learning]
Digital Forensic,odd,elective,3,"[-0.1817854940891266, 0.010438021272420883, -0.07378555089235306, -0.18498432636260986, 0.031173087656497955, -0.01178619172424078, -0.3036026954650879, -0.07775816321372986, 0.1477838009595871, -0.0023757214657962322, -0.22235964238643646, 0.18176519870758057, -0.09855938702821732, 0.19341182708740234, 0.06781238317489624, -0.07301731407642365, 0.12069932371377945, -0.06726747006177902, -0.08228044211864471, 0.09813496470451355, 0.1092037558555603, -0.08019004762172699, -0.15747615694999695, 0.026944153010845184, -0.039408423006534576, 0.16030116379261017, 0.08175724744796753, 0.03501153737306595, -0.04110728204250336, -0.05222146958112717, -0.07595252990722656, 0.025219805538654327, -0.1255636066198349, 0.11983325332403183, 0.21109122037887573, 0.022906754165887833, -0.0210257675498724, -0.011891111731529236, -0.09190431237220764, -0.07278229296207428, -0.1263703852891922, 0.05729536712169647, 0.2321046143770218, -0.16713128983974457, -0.11130666732788086, 0.012015342712402344, -0.15632125735282898, 0.0020494088530540466, 0.2663327753543854, -0.31523334980010986, 0.009264778345823288, 0.02006053552031517, -0.1075236052274704, 0.0017485031858086586, -0.022837746888399124, 0.05779391899704933, -0.010761342942714691, -0.060209669172763824, 0.07802964746952057, 0.05123858153820038, 0.2642168402671814, 0.12158477306365967, -0.11864370852708817, 0.04008902981877327, -0.16986924409866333, 0.0036568976938724518, -0.057107388973236084, 0.3620813190937042, -0.30179786682128906, 0.13316217064857483, 0.07969817519187927, -0.141338512301445, 0.07209672778844833, -0.02698628604412079, -0.020892582833766937, 0.19283685088157654, 0.1422782987356186, 0.10463812202215195, 0.01202332228422165, 0.017053086310625076, -0.22748517990112305, 0.34488779306411743, 0.04168291017413139, -0.22311635315418243, -0.0599941648542881, -0.20581001043319702, 0.10084812343120575, 0.06826537847518921, 0.005140690132975578, 0.03566775098443031, 0.15970216691493988, 0.02122846618294716, -0.10519535094499588, -0.08691752701997757, 0.04413324221968651, 0.046648185700178146, -0.335315465927124, -0.08501618355512619, -0.07405976206064224, 0.045367531478405, -0.11068941652774811, 0.022472627460956573, -0.0645444318652153, -0.035798996686935425, -0.332662433385849, -0.013653021305799484, -0.12451861053705215, -0.06779046356678009, 0.06796848773956299, 0.02171311527490616, -0.050417210906744, 0.07806570827960968, 0.03734201937913895, 0.01014571450650692, 0.12513981759548187, 0.09964311122894287, -0.010638917796313763, 0.0967557430267334, -0.10373225808143616, 0.20527370274066925, -0.07477038353681564, -0.001971091143786907, -0.07109662890434265, -0.23260414600372314, 0.07588811963796616, -0.20415224134922028, -0.0002415888011455536, -0.04561677575111389]","[Threat Analysis, Cybersecurity, Data Analysis]",[],[Network Programming]
Digital System,odd,mandatory,3,"[-0.0009099299786612391, -0.10399248450994492, -0.11458614468574524, -0.1566382646560669, -0.2514663338661194, 0.03873640298843384, 0.026257790625095367, -0.005394482985138893, -0.056676093488931656, -0.14649882912635803, -0.07864463329315186, -0.0024042874574661255, -0.13473482429981232, -0.19199535250663757, 0.2921528220176697, -0.12284062802791595, -0.0015594661235809326, -0.11777164787054062, 0.11471635103225708, -0.04107707366347313, -0.08761373162269592, -0.007604941725730896, 0.07123498618602753, -0.1258959174156189, -0.02359309419989586, -0.008904017508029938, -0.08104892075061798, -0.04198700562119484, 0.13200503587722778, 0.07753939181566238, -0.00916440598666668, 0.1616436094045639, -0.23320263624191284, 0.03080744296312332, -0.1496192216873169, 0.16677770018577576, -0.02222748100757599, 0.15559813380241394, -0.1276506781578064, 0.1048373132944107, 0.08670379966497421, -0.1686626523733139, -0.018393907696008682, -0.10035275667905807, -0.15117867290973663, 0.21500401198863983, -0.15202350914478302, 0.051346711814403534, -0.08546838164329529, 0.09859800338745117, 0.11491165310144424, 0.06415083259344101, 0.041856806725263596, 0.06298050284385681, -0.27363017201423645, -0.051800940185785294, 0.03139333426952362, -0.01208949089050293, -0.09183788299560547, -0.12108585238456726, 0.01891324669122696, 0.14838378131389618, 0.02008357271552086, -0.12869080901145935, -0.2105194628238678, -0.1440294235944748, -0.15033383667469025, -0.03639722242951393, -0.02099350281059742, 0.20778967440128326, -0.08130931854248047, 0.19199535250663757, 0.002925083041191101, 0.011829097755253315, -0.10730670392513275, 0.06285031139850616, 0.18231162428855896, 0.0527108795940876, 0.17867189645767212, 0.03184757009148598, -0.021968532353639603, 0.030092809349298477, 0.050111278891563416, 0.09216338396072388, 0.018459007143974304, 0.005524683743715286, 0.0764341652393341, -0.13837453722953796, 0.1786067932844162, -0.0638253390789032, 0.10113249719142914, 0.10860724002122879, -0.04107707366347313, 0.028272947296500206, 0.06083514541387558, 0.0667504370212555, -0.0673348605632782, 0.11374132335186005, -0.04374176636338234, 0.11926600337028503, -0.06116064265370369, 0.016639143228530884, -0.008124276995658875, 0.11926600337028503, -0.12089056521654129, 0.07123498618602753, -0.06467017531394958, 0.016443848609924316, 0.151048481464386, 0.2779194116592407, -0.07234020531177521, 0.16762252151966095, -0.2333979308605194, -0.04257144033908844, 0.13103000819683075, 0.04192190617322922, 0.002729791682213545, -0.04114216938614845, -0.14922863245010376, 0.0659056007862091, -0.026453083381056786, 0.054141588509082794, 0.02716771513223648, -0.11296159029006958, 0.20304474234580994, -0.15325893461704254, 0.01897834986448288, -0.04458659887313843]",[],"[Operating System, Computer Organization]",[]
Discrete Mathematics,odd,mandatory,3,"[-0.07881107181310654, 0.0, -0.15762214362621307, 0.23311445116996765, 0.15762214362621307, 0.15762214362621307, -0.2364332228899002, 0.15430337190628052, -0.08212985098361969, 0.23311445116996765, -0.23311445116996765, -0.07881107181310654, 0.07881107181310654, 0.07881107181310654, -0.15430337190628052, 0.15762214362621307, 0.15762214362621307, 0.0, 0.07549230009317398, 0.0, 0.07549230009317398, -0.15762214362621307, -0.15430337190628052, 0.15762214362621307, 0.0, -0.15430337190628052, 0.3119255304336548, -0.003318771719932556, 0.07881107181310654, 0.07881107181310654, 0.0, 0.15430337190628052, 0.0, 0.15430337190628052, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.0, 0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, -0.07549230009317398, 0.0, -0.08212985098361969, 0.07881107181310654, -0.23311445116996765, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15430337190628052, -0.23311445116996765, 0.07549230009317398, 0.07881107181310654, 0.15430337190628052, 0.23311445116996765, 0.0, 0.07881107181310654, 0.0, 0.0, 0.0, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.07881107181310654, 0.3119255304336548, -0.15430337190628052, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.15430337190628052, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, -0.07881107181310654, -0.3119255304336548, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, 0.0, 0.07881107181310654, 0.07881107181310654, 0.15762214362621307, 0.15762214362621307, -0.15430337190628052, -0.07881107181310654, -0.07881107181310654, 0.0, -0.23311445116996765, -0.07881107181310654, 0.0, -0.15430337190628052, -0.23311445116996765, 0.0, 0.15430337190628052, 0.0, 0.07881107181310654, 0.23311445116996765, 0.07881107181310654, 0.15430337190628052, -0.15430337190628052, -0.07881107181310654, 0.15430337190628052, -0.2364332228899002, -0.07549230009317398, 0.15762214362621307, 0.0, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.003318771719932556, -0.07881107181310654, 0.07881107181310654, 0.15430337190628052, 0.0]",[],[],[Calculus 2]
Distributed Database,even,elective,3,"[-0.01795962080359459, 0.06275887787342072, -0.2375902235507965, 0.2255258709192276, 0.027176085859537125, -0.06839986890554428, -0.3056536316871643, 0.12869420647621155, -0.13425303995609283, -0.11618390679359436, -0.07364965230226517, -0.11858582496643066, 0.11945034563541412, -0.015221265144646168, -0.22868278622627258, 0.1430235505104065, -0.195756196975708, -0.055690035223960876, 0.07456893473863602, -0.15257644653320312, -0.13489851355552673, -0.17938874661922455, 0.00284787081182003, 0.13861092925071716, 0.20591934025287628, 0.19430094957351685, 0.10333716869354248, -0.09453926980495453, -0.19380025565624237, 0.23658879101276398, 0.1820097118616104, -0.03527374565601349, 0.04393474757671356, -0.22161394357681274, 0.24943552911281586, 0.07336797565221786, -0.14740881323814392, -0.14257760345935822, 0.13626375794410706, 0.1180851086974144, -0.29163333773612976, -0.11939558386802673, -0.015002205967903137, 0.0749601274728775, 0.10764028131961823, -0.15411385893821716, 0.03499208390712738, -0.009861961007118225, -0.09822428971529007, 0.10543004423379898, -0.13981187343597412, 0.022063201293349266, 0.034327082335948944, 0.1004893109202385, -0.03407278656959534, 0.0068145571276545525, 0.022872963920235634, -0.2530931234359741, -0.0929197371006012, -0.05720004439353943, 0.2103320062160492, -0.0324806347489357, -0.18419256806373596, 0.25641435384750366, -0.06649865955114365, -0.18634019792079926, 0.13950282335281372, 0.19592049717903137, 0.047701895236968994, -0.08537755906581879, -0.032817065715789795, -0.06130363047122955, 0.200360506772995, 0.11459174752235413, 0.0067597925662994385, -0.11138007044792175, -0.1578262448310852, 0.2812159061431885, 0.00999885331839323, 0.11012434959411621, -0.04558166116476059, -0.09096378833055496, -0.2621648609638214, -0.0172867588698864, -0.06435103714466095, 0.1377737671136856, 0.10169026255607605, -0.06906486302614212, -0.056554555892944336, 0.023264162242412567, 0.024965837597846985, -0.07817180454730988, 0.09342045336961746, -0.27191728353500366, -0.07730728387832642, 0.14740881323814392, -0.025611314922571182, 0.034546125680208206, -0.13942067325115204, 0.007205749396234751, -0.07574252039194107, 0.056218117475509644, -0.016058409586548805, -0.08576875180006027, -0.09252855181694031, -0.06965558230876923, -0.11174388229846954, -0.17843420803546906, 0.001955963671207428, 0.09313879907131195, -0.018961042165756226, 0.03368159011006355, 0.059738874435424805, 0.08177468180656433, 0.21957583725452423, -0.27747613191604614, 0.20631054043769836, 0.07970920205116272, 0.13897472620010376, -0.03569231927394867, 0.033235643059015274, 0.06169482693076134, -0.018014373257756233, 0.14467047154903412, 0.08161041140556335, -0.2611634135246277, 0.18902379274368286, 0.19751262664794922]","[Big Data, Database Management]",[],[]
Distributed Systems,odd,elective,3,"[0.1739666610956192, -0.22896063327789307, 0.12273160368204117, -0.09651986509561539, 0.030277717858552933, -0.2804219424724579, 0.03802051022648811, 0.012511324137449265, 0.04366998001933098, -0.11052888631820679, -0.08125492185354233, 0.09308286011219025, -0.22479337453842163, -0.016729313880205154, -0.011107288300991058, -0.30151188373565674, 0.25910550355911255, 0.046665336936712265, -0.18521267175674438, -0.07416047900915146, -0.05250623822212219, -0.12978708744049072, -0.013634208589792252, 0.04188676178455353, -0.16163110733032227, 0.18547423183918, 0.04770415276288986, -0.07265275716781616, 0.06892696022987366, -0.04639006778597832, -0.062074437737464905, -0.0005742907524108887, -0.18886250257492065, -0.19098106026649475, -0.14051565527915955, -0.13254833221435547, 0.16015060245990753, -0.08652740716934204, 0.008662472479045391, -0.06950321793556213, -0.1934162974357605, 0.14749684929847717, 0.018612056970596313, 0.031426090747117996, 0.04285742715001106, -0.0520549938082695, 0.15348583459854126, -0.25232747197151184, -0.11843761056661606, -0.126266211271286, 0.11442259699106216, 0.08967522531747818, -0.0002772323787212372, -0.08756425976753235, 0.034564096480607986, 0.19278168678283691, 0.02372620441019535, -0.1571434736251831, 0.04134994372725487, 0.1900770515203476, -0.12771926820278168, -0.19148501753807068, 0.07982343435287476, -0.2313956320285797, -0.073094442486763, -0.07733964920043945, -0.013458458706736565, -0.0013045072555541992, -0.036790262907743454, 0.02975243516266346, 0.06983315199613571, -0.15888530015945435, 0.13255029916763306, 0.16713008284568787, 0.012839294970035553, 0.2001550793647766, 0.1385492980480194, -0.0786343514919281, 0.1560245156288147, -0.09123735874891281, -0.14646786451339722, 0.1882452666759491, -0.026647523045539856, 0.0438690185546875, -0.1354951411485672, 0.04661458730697632, -0.1861284375190735, -0.024671373888850212, 0.0006524771451950073, -0.1494867205619812, 0.11109119653701782, -0.17727454006671906, 0.016454046592116356, -0.16532380878925323, 0.18912403285503387, -0.045310307294130325, -0.031761907041072845, -0.07784925401210785, -0.15141409635543823, 0.20325827598571777, 0.11620336771011353, -0.1411757469177246, -0.12115009129047394, 0.0739494264125824, -0.14725272357463837, 0.03822174295783043, 0.10424479842185974, -0.0683492124080658, -0.18218573927879333, -0.015241213142871857, -0.3131523132324219, 0.14560455083847046, -0.09935712814331055, -0.20456452667713165, 0.11948427557945251, 0.014686737209558487, -0.10127469897270203, 0.030186038464307785, -0.2561606466770172, 0.0866367369890213, 0.027778249233961105, 0.06400597095489502, -0.1223391592502594, -0.0638066977262497, 0.17293764650821686, -0.07231694459915161, -0.1993430107831955, 0.08651956170797348]","[Cloud Architecture, Networking]",[],[]
Dynamic System Simulation,even,elective,3,"[0.015564560890197754, -0.006507839076220989, 0.004747599828988314, 0.07851047068834305, -0.05247911065816879, 0.33013325929641724, -0.19828878343105316, -0.06540016084909439, 0.016003038734197617, 0.17103029787540436, 0.1559767872095108, 0.03987983614206314, 0.002848559757694602, -0.02579791098833084, 0.150834858417511, 0.0653780847787857, -0.06373455375432968, -0.0465264730155468, -0.2052130103111267, 0.018201760947704315, 0.006646639667451382, -0.024548716843128204, -0.025498243048787117, 0.22272078692913055, 0.10481943935155869, 0.33648020029067993, 0.11692975461483002, -0.054655760526657104, -0.0871003121137619, 0.01709136553108692, -0.0628071129322052, 0.06579446792602539, 0.25035151839256287, 0.024848394095897675, 0.03242247924208641, -0.09425798803567886, -0.08844415843486786, 0.06482287496328354, 0.11744078993797302, 0.006507840007543564, 0.061857592314481735, -0.10238727927207947, -0.0771445482969284, -0.18175263702869415, -0.004075678065419197, -0.11473103612661362, -0.06945375353097916, -0.050996482372283936, 0.08939367532730103, -0.008428961038589478, -0.2239479124546051, 0.09303086996078491, -0.023460401222109795, -0.002293352037668228, 0.018851598724722862, 0.03008495271205902, 0.013965198770165443, -0.29134172201156616, 0.08598990738391876, 0.039047032594680786, 0.2541716694831848, -0.1154029592871666, -0.26394444704055786, 0.10523583739995956, -0.0009495199774391949, 0.052084796130657196, -0.0008107190951704979, 0.16873693466186523, 0.019662320613861084, -0.029157521203160286, -0.03987983614206314, -0.1859671026468277, 0.04516055807471275, 0.0191291943192482, 0.16292309761047363, 0.01681375876069069, 0.22529175877571106, 0.114891916513443, -0.12855744361877441, 0.093169666826725, -0.13386023044586182, 0.05463368445634842, 0.114891916513443, 0.019684389233589172, -0.2742503881454468, 0.007596159819513559, 0.0686209499835968, -0.20111526548862457, 0.25037360191345215, -0.01630271226167679, 0.13455423712730408, 0.015608716756105423, -0.2803418040275574, 0.017091361805796623, 0.006091441959142685, 0.006924239918589592, -0.086844801902771, 0.22158829867839813, 0.02153928577899933, 0.15785373747348785, -0.10808439552783966, 0.10782887041568756, 0.009495198726654053, 0.008129287511110306, -0.019012488424777985, -0.27246806025505066, 0.026586558669805527, 0.12679719924926758, -0.11486983299255371, -0.03895239531993866, 0.08070918917655945, -0.10280366986989975, 0.21047167479991913, 0.14446581900119781, -0.010283850133419037, -0.008012555539608002, 0.09682895243167877, 0.04298391193151474, -0.004097767174243927, -0.11366479098796844, 0.11827360093593597, 0.20398589968681335, 0.17385677993297577, 0.03691456466913223, -0.06102479249238968, -0.06496167927980423, 0.25551551580429077, -0.23071126639842987]",[Data Analysis],[],[Modeling and Simulation]
Education and Simulation Games,even,elective,3,"[-0.08495951443910599, 0.11337406933307648, 0.26712632179260254, 0.00007750093936920166, 0.173967182636261, 0.048629485070705414, 0.06474459171295166, 0.032462701201438904, -0.089007668197155, 0.14978159964084625, 0.05257429927587509, -0.01614093780517578, -0.016166770830750465, 0.1821409910917282, 0.10924842953681946, -0.09305581450462341, -0.19023728370666504, -0.18613746762275696, -0.16999652981758118, -0.008096304722130299, -0.10932591557502747, 0.06064477562904358, -0.07284089177846909, -0.060722269117832184, -0.05667411908507347, 0.00005166977643966675, 0.11734472215175629, -0.19823025166988373, -0.20640406012535095, 0.0, -0.13763713836669922, 0.004048151429742575, 0.048577819019556046, 0.05672577768564224, -0.15372641384601593, -0.09710396826267242, -0.18611162900924683, 0.24283742904663086, 0.09707814455032349, -0.2184710055589676, -0.07281506061553955, 0.22664481401443481, 0.048577819019556046, 0.21442286670207977, -0.18611162900924683, -0.0769665390253067, -0.12136705219745636, -0.08495951443910599, -0.23474112153053284, 0.22254499793052673, 0.06474459171295166, -0.12136705219745636, 0.10117796063423157, -0.02029242366552353, 0.1011262908577919, -0.052600134164094925, 0.10922259837388992, 0.00404815049842, -0.00809630285948515, -0.06474459171295166, -0.02031823992729187, -0.0445038303732872, -0.07284089177846909, -0.052677638828754425, -0.23878926038742065, -0.16190023720264435, -0.14160780608654022, 0.1254410296678543, -0.05667411908507347, 0.10527776181697845, -0.08091136813163757, 0.18618912994861603, 0.13763713836669922, 0.08903349936008453, -0.24283742904663086, -0.1011262908577919, 0.10520027577877045, -0.2346377670764923, -0.06879273802042007, -0.08098886907100677, 0.008096304722130299, 0.06876690685749054, -0.12956668436527252, 0.12549269199371338, -0.12551851570606232, -0.0769665390253067, 0.05664828419685364, 0.08495952188968658, 0.14168529212474823, 0.04860365018248558, -0.16999652981758118, -0.02024075947701931, 0.0890851616859436, 0.012144454754889011, -0.008122138679027557, 0.10115212202072144, 0.0323852114379406, 0.1011262908577919, -0.028337059542536736, 0.20238174498081207, 0.004048151429742575, 0.10517444461584091, -0.2184710055589676, -0.14171114563941956, 0.34801185131073, -0.10520027577877045, 0.09710396826267242, 0.06471876055002213, -0.09302999079227448, 0.02024075947701931, 0.08101470023393631, 0.024314742535352707, 0.020214920863509178, 0.3035338819026947, -0.07686321437358856, -0.08093719929456711, 0.11329656839370728, 0.12541520595550537, -0.04048151522874832, 0.028414547443389893, -0.1295408457517624, 0.036510854959487915, 0.028337059542536736, -0.11327075213193893, 0.02831122651696205, -0.02024075947701931, 0.15375226736068726, 0.06067059934139252]",[C++],[],[]
English,even,mandatory,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[]
