name,embedding,taught_by_classes,required_by_careers
Data Governance,"[0.0, 0.0363553911447525, -0.02019275352358818, -0.037698760628700256, -0.2497226744890213, 0.11981314420700073, -0.1904877871274948, 0.20799380540847778, 0.1009637787938118, -0.19789743423461914, -0.01009637676179409, -0.13866253197193146, 0.308957576751709, 0.07067463546991348, -0.12990951538085938, 0.12115652114152908, -0.11578302830457687, -0.07067463546991348, 0.12115652114152908, 0.12115652114152908, -0.1878010481595993, 0.10837339609861374, 0.06933126598596573, 0.01009637676179409, 0.06798788905143738, 0.14134928584098816, 0.0, 0.31030094623565674, 0.04913850873708725, 0.11846977472305298, -0.10971677303314209, -0.012783125042915344, 0.17163841426372528, -0.2813551723957062, 0.02019275352358818, 0.17904803156852722, -0.1992407888174057, 0.06933126598596573, 0.07067463546991348, 0.00875299796462059, -0.13866253197193146, -0.07201801240444183, 0.012783125042915344, 0.12990951538085938, -0.13125289976596832, -0.00875299796462059, -0.11712642014026642, 0.02019275352358818, -0.37963223457336426, 0.08211439847946167, 0.10837339609861374, -0.17029502987861633, 0.11106014251708984, 0.2887648344039917, -0.01009637676179409, -0.01009637676179409, -0.0026867464184761047, -0.07942764461040497, -0.00875299796462059, -0.04913850873708725, 0.06057826057076454, 0.05923488736152649, -0.18914440274238586, 0.011439748108386993, 0.17029502987861633, -0.03028913401067257, 0.03028913401067257, 0.0026867464184761047, -0.1904877871274948, 0.11981314420700073, -0.12856614589691162, 0.0, 0.021536126732826233, 0.07067463546991348, -0.06933126598596573, -0.20058417320251465, -0.06933126598596573, 0.08952402323484421, 0.06933126598596573, 0.20058417320251465, -0.18039140105247498, 0.03904213011264801, -0.15278902649879456, 0.1426926702260971, 0.011439748108386993, 0.16760830581188202, 0.04913850873708725, 0.0504818893969059, -0.05923488736152649, 0.12722279131412506, 0.14134928584098816, 0.0026867464184761047, 0.13866253197193146, -0.13259626924991608, 0.11106014251708984, 0.07942764461040497, 0.04913850873708725, -0.12990951538085938, -0.11846977472305298, 0.0, -0.08952402323484421, -0.01009637676179409, -0.007409632205963135, -0.01009637676179409, 0.11981314420700073, 0.0013433732092380524, 0.0, -0.04038550704717636, -0.07067463546991348, 0.01009637676179409, 0.27866846323013306, 0.0, 0.02019275724887848, -0.06057826057076454, 0.08211439847946167, -0.2975178062915802, -0.1009637787938118, -0.10971677303314209, -0.12856614589691162, 0.1904877871274948, -0.12990951538085938, -0.0504818893969059, -0.2382829338312149, 0.01009637676179409, 0.23962628841400146, -0.25106602907180786, 0.03904213383793831, 0.12856614589691162]",[Special Topics on Information Intelligent Management],[Data Governance Analyst]
Data Protection,"[0.0, 0.0, 0.11547005921602249, 0.11547005921602249, -0.11547005921602249, 0.11547005921602249, 0.27986904978752136, -0.16439899802207947, 0.11547005921602249, 0.0, -0.27986904978752136, 0.0, 0.0, 0.0, 0.0, 0.11547005921602249, 0.0, 0.0, -0.27986904978752136, 0.0, 0.0, 0.0, -0.27986904978752136, 0.16439899802207947, 0.16439899802207947, 0.0, -0.11547005921602249, -0.11547005921602249, 0.0, -0.11547005921602249, 0.0, 0.23094011843204498, 0.0, -0.16439899802207947, -0.16439899802207947, 0.048928938806056976, -0.048928938806056976, 0.0, -0.11547005921602249, -0.11547005921602249, 0.23094011843204498, 0.0, 0.16439899802207947, 0.0, 0.0, 0.16439899802207947, 0.048928938806056976, -0.11547005921602249, -0.16439899802207947, 0.11547005921602249, -0.11547005921602249, 0.0, -0.23094011843204498, 0.0, -0.11547005921602249, 0.11547005921602249, 0.16439899802207947, 0.0, -0.27986904978752136, -0.16439899802207947, -0.16439899802207947, 0.0, 0.11547005921602249, 0.0, 0.048928938806056976, 0.16439899802207947, 0.0, 0.0, 0.0, 0.11547005921602249, 0.048928938806056976, 0.0, -0.11547005921602249, -0.16439899802207947, 0.0, -0.16439899802207947, 0.16439899802207947, 0.11547005921602249, 0.11547005921602249, 0.0, 0.0, 0.0, -0.16439899802207947, 0.16439899802207947, 0.0, -0.11547005921602249, 0.0, -0.27986904978752136, -0.11547005921602249, 0.0, 0.11547005921602249, -0.16439899802207947, 0.0, -0.11547005921602249, -0.11547005921602249, -0.048928938806056976, 0.0, 0.0, 0.0, 0.0, -0.23094011843204498, -0.11547005921602249, -0.11547005921602249, 0.11547005921602249, 0.27986904978752136, 0.0, -0.11547005921602249, 0.11547005921602249, 0.16439899802207947, 0.0, 0.11547005921602249, 0.11547005921602249, 0.0, 0.0, 0.11547005921602249, 0.0, -0.11547005921602249, 0.16439899802207947, 0.27986904978752136, -0.11547005921602249, -0.11547005921602249, -0.39533913135528564, 0.11547005921602249, 0.0, -0.27986904978752136, -0.11547005921602249, 0.11547005921602249, 0.16439899802207947]",[],[Data Privacy Officer]
Data Quality,"[0.0, -0.03630705922842026, 0.0, -0.15211918950080872, -0.23337289690971375, 0.143479585647583, -0.1348399817943573, 0.19706584513187408, 0.1348399817943573, -0.09853292256593704, 0.09853292256593704, -0.09853292256593704, 0.3319058418273926, 0.04494665935635567, -0.04494665935635567, 0.1348399817943573, -0.062225863337516785, -0.04494665935635567, 0.1348399817943573, 0.1348399817943573, -0.09853292256593704, 0.09853292256593704, 0.09853292256593704, 0.0, 0.053586263209581375, 0.1348399817943573, 0.0, 0.2783195674419403, 0.0, 0.09853292256593704, -0.04494665935635567, -0.03630705922842026, 0.17978663742542267, -0.17978663742542267, -0.09853292256593704, 0.18842624127864838, -0.143479585647583, 0.09853292256593704, 0.04494665935635567, -0.04494665935635567, -0.09853292256593704, -0.03630705922842026, 0.03630705922842026, 0.143479585647583, -0.1348399817943573, 0.08989331871271133, -0.15211918950080872, 0.0, -0.37685248255729675, 0.1348399817943573, 0.09853292256593704, -0.23337289690971375, 0.03630705922842026, 0.3319058418273926, 0.0, 0.0, -0.03630705922842026, 0.0, 0.08989331871271133, 0.0, 0.04494665935635567, 0.09853292256593704, -0.18842624127864838, -0.053586263209581375, 0.23337289690971375, 0.0, 0.09853292256593704, 0.03630705922842026, -0.23337289690971375, 0.143479585647583, -0.09853292256593704, 0.0, -0.053586263209581375, 0.08989331871271133, -0.09853292256593704, -0.23337289690971375, 0.0, 0.0, 0.09853292256593704, 0.1348399817943573, -0.1348399817943573, 0.09853292256593704, -0.08125371485948563, 0.08125371485948563, 0.04494665935635567, 0.19706584513187408, 0.0, 0.08989331871271133, -0.09853292256593704, 0.10717252641916275, 0.1348399817943573, 0.03630705922842026, 0.09853292256593704, -0.08125371485948563, 0.1348399817943573, 0.09853292256593704, 0.09853292256593704, -0.04494665935635567, -0.09853292256593704, 0.0, -0.09853292256593704, 0.0, 0.03630705922842026, 0.0, 0.04494665935635567, 0.04494665935635567, 0.0, 0.0, -0.04494665935635567, 0.0, 0.23337289690971375, 0.0, 0.0, -0.04494665935635567, 0.03630705922842026, -0.24201250076293945, -0.1348399817943573, -0.08989331871271133, -0.19706584513187408, 0.1348399817943573, -0.143479585647583, -0.08989331871271133, -0.24201250076293945, 0.0, 0.23337289690971375, -0.17978663742542267, 0.0, 0.09853292256593704]",[],[Data Governance Analyst]
Data Visualization,"[-0.127004936337471, -0.01747768372297287, 0.11386997252702713, -0.013931617140769958, 0.0953768864274025, 0.1464909315109253, -0.004574008285999298, -0.17837077379226685, 0.06466569751501083, 0.04960218071937561, 0.19420669972896576, -0.1103372871875763, -0.018188312649726868, -0.03288441151380539, 0.008946344256401062, 0.004617862403392792, -0.10754403471946716, 0.016601279377937317, -0.16036158800125122, 0.0924859270453453, 0.017630064859986305, 0.15320850908756256, -0.049534961581230164, 0.2640664577484131, 0.12477077543735504, 0.04971325397491455, 0.07985908538103104, -0.14647923409938812, -0.012724533677101135, 0.20131677389144897, 0.05711016803979874, -0.23613600432872772, 0.05111487954854965, -0.07277493178844452, -0.053252212703228, 0.2918069362640381, -0.039455022662878036, 0.16406628489494324, 0.04110842943191528, 0.17904548346996307, -0.033355794847011566, -0.030526630580425262, -0.15464231371879578, 0.046968404203653336, -0.07540158182382584, -0.02666868269443512, -0.009877427481114864, -0.31016016006469727, -0.02816344052553177, -0.017715230584144592, 0.018457189202308655, -0.13126704096794128, -0.26744136214256287, 0.014256034977734089, 0.1687818467617035, 0.0011022709077224135, -0.11276770383119583, -0.08610528707504272, -0.21324634552001953, -0.019467182457447052, 0.2406732589006424, 0.2128046154975891, 0.09602656960487366, -0.11949155479669571, 0.024690860882401466, 0.011096191592514515, 0.09314102679491043, 0.10136504471302032, 0.09509547799825668, -0.01653406023979187, -0.0012859824346378446, -0.15992067754268646, 0.01692027598619461, 0.032486505806446075, 0.018395384773612022, -0.022443311288952827, -0.07797980308532715, 0.033459752798080444, -0.008891650475561619, 0.035854272544384, -0.15408490598201752, -0.028579287230968475, 0.12789928913116455, -0.014843911863863468, -0.20867151021957397, 0.06558509916067123, -0.2685427665710449, 0.12589725852012634, 0.07440327107906342, 0.024586904793977737, -0.12974266707897186, -0.012033544480800629, -0.2738891839981079, -0.10236421227455139, 0.15432414412498474, -0.012651897966861725, -0.006508819758892059, -0.011310378089547157, -0.04570749029517174, -0.02116359956562519, 0.00010395795106887817, -0.24958369135856628, 0.06635669618844986, 0.1914205551147461, -0.14863994717597961, -0.03666260465979576, 0.23147685825824738, 0.09270095825195312, -0.03691979870200157, -0.1238522157073021, -0.1054505705833435, -0.010146312415599823, -0.01175755262374878, -0.042076267302036285, -0.027954665943980217, 0.014115333557128906, 0.20980426669120789, -0.12149443477392197, 0.007532183546572924, -0.2082861363887787, 0.06326407194137573, -0.009363033808767796, 0.03634445369243622, -0.1084321066737175, 0.03446517884731293, -0.14333733916282654, 0.055236294865608215, 0.16051480174064636]","[Final Project, Geographical Information Systems]",[Data Analyst]
Database Management,"[-0.026762019842863083, -0.034894734621047974, -0.2262434959411621, 0.2876104712486267, -0.05873185396194458, -0.13773790001869202, -0.25583383440971375, 0.21427664160728455, -0.16109895706176758, -0.19415952265262604, -0.22520935535430908, -0.21931667625904083, 0.03492594137787819, -0.018566880375146866, -0.2844806909561157, 0.11862761527299881, -0.19490975141525269, 0.034405939280986786, 0.052232325077056885, -0.04416108503937721, -0.1507427990436554, -0.16111260652542114, 0.10352124273777008, 0.034179601818323135, 0.219328373670578, 0.15826088190078735, 0.042165957391262054, 0.05076110363006592, -0.13268034160137177, 0.23666206002235413, -0.005160003900527954, -0.12901106476783752, -0.06302748620510101, -0.3280847370624542, 0.2739928662776947, 0.011218566447496414, -0.10373196750879288, -0.02183419093489647, 0.13992619514465332, 0.2950748801231384, -0.21754591166973114, -0.10573099553585052, -0.07188211381435394, 0.07887434214353561, -0.01046249270439148, -0.23172253370285034, -0.1267242133617401, 0.032497648149728775, -0.22277909517288208, 0.10864223539829254, -0.09564903378486633, -0.01144685223698616, 0.0746040865778923, -0.014883939176797867, -0.04362938553094864, -0.020556148141622543, 0.04374157264828682, -0.20726493000984192, -0.15272818505764008, -0.04502546042203903, 0.08905681222677231, 0.07720409333705902, -0.2506006360054016, 0.25698795914649963, -0.04593962803483009, -0.18186192214488983, 0.12458373606204987, 0.06093771755695343, 0.004520006477832794, 0.010700513608753681, -0.13415546715259552, 0.03692496940493584, 0.14987842738628387, 0.12082566320896149, -0.027473246678709984, -0.10131538659334183, -0.17139166593551636, 0.3145715296268463, -0.09010852128267288, 0.2212132215499878, -0.06860505044460297, -0.1644628793001175, -0.19801025092601776, 0.10006464272737503, -0.19522488117218018, 0.011338558048009872, 0.06494943797588348, 0.0639035776257515, -0.015102476812899113, 0.056746482849121094, 0.06280115246772766, -0.03262154385447502, 0.019496634602546692, -0.30650806427001953, -0.027481045573949814, 0.1315203309059143, 0.0283200703561306, -0.0794001966714859, -0.11013685911893845, 0.006924894172698259, -0.20388931035995483, -0.13059447705745697, -0.10289295017719269, -0.039434242993593216, -0.005242941435426474, -0.14245304465293884, -0.01017270889133215, -0.23733817040920258, -0.051074277609586716, 0.014151262119412422, -0.035741545259952545, 0.019923951476812363, 0.12039253115653992, 0.03796887770295143, 0.22445324063301086, -0.26949042081832886, 0.12198372185230255, -0.07354067265987396, 0.07658946514129639, 0.11790858209133148, 0.05927722528576851, -0.034413740038871765, -0.013536615297198296, 0.039434242993593216, 0.15083548426628113, -0.2411508560180664, 0.05991526320576668, 0.2417849898338318]","[Database System, Database Management, Special Topics on Information Intelligent Management, Distributed Database]","[Database Administrator, Database Analyst]"
Design Patterns,"[0.31393903493881226, 0.0403079017996788, 0.0293097123503685, -0.1534690409898758, 0.09791196882724762, 0.15243445336818695, -0.167569100856781, 0.08467336744070053, -0.022535886615514755, -0.060797713696956635, -0.17664939165115356, -0.01392342522740364, 0.039128370583057404, -0.01735389232635498, 0.22554649412631989, -0.14451724290847778, 0.0564364492893219, 0.1219562292098999, 0.023171409964561462, -0.07677140086889267, -0.09567661583423615, -0.041931621730327606, -0.1501694917678833, 0.1668543517589569, -0.28809112310409546, 0.07277873158454895, 0.18989689648151398, 0.03879414498806, 0.14407391846179962, -0.14996057748794556, 0.033378660678863525, 0.038514383137226105, 0.21380281448364258, 0.16916503012180328, 0.012819496914744377, -0.3620138168334961, 0.1384126991033554, -0.12394015491008759, -0.01906573958694935, -0.11332818865776062, -0.11598590016365051, -0.0512014776468277, 0.12727613747119904, -0.016193777322769165, -0.06415069103240967, -0.09519508481025696, -0.05223994702100754, -0.10270246863365173, -0.40869712829589844, 0.14215219020843506, 0.04441237077116966, -0.2088586539030075, 0.06622041761875153, 0.26324307918548584, -0.01612945646047592, 0.0557304248213768, -0.07833181321620941, -0.2511732280254364, -0.011114172637462616, 0.07803968340158463, -0.12497828900814056, -0.05052356421947479, -0.10861723870038986, 0.06360547989606857, 0.061640381813049316, 0.007304703816771507, -0.19748562574386597, 0.19760280847549438, -0.08802010118961334, 0.07992622256278992, -0.10068027675151825, -0.11918792128562927, 0.10043366998434067, 0.19505572319030762, -0.08539646863937378, 0.004661361686885357, -0.16655811667442322, -0.02764686942100525, 0.11507326364517212, 0.18440186977386475, 0.06030416116118431, 0.3131409287452698, -0.025949567556381226, -0.1256837397813797, -0.07025616616010666, -0.06088590994477272, 0.05980769172310829, -0.06657342612743378, 0.09468991309404373, -0.21923896670341492, -0.05637609213590622, -0.24512428045272827, 0.017122464254498482, 0.17039570212364197, -0.10292788594961166, -0.27356114983558655, 0.018662789836525917, 0.01889834553003311, 0.09330713748931885, -0.06793771684169769, 0.029071170836687088, 0.05161908268928528, -0.28798824548721313, -0.20099620521068573, -0.09254962205886841, -0.03007138893008232, -0.0014521367847919464, 0.09335462003946304, -0.00583997368812561, -0.06694682687520981, 0.2906809449195862, -0.2961711883544922, -0.20590417087078094, 0.17568239569664001, 0.028351690620183945, -0.13803395628929138, 0.032136596739292145, 0.1206517368555069, -0.1737232506275177, 0.1851785033941269, -0.10003341734409332, -0.08195110410451889, 0.025236621499061584, 0.00988023728132248, -0.19577553868293762, -0.06460803747177124, 0.2646784782409668, 0.24861207604408264]","[Object Oriented Programming, Software Design, Software Architecture]",[Software Architect]
DevOps,"[0.02912427857518196, 0.0, -0.182915598154068, -0.2509920001029968, 0.13287688791751862, -0.1279030740261078, 0.08106046915054321, 0.08749260008335114, -0.21539567410945892, -0.20245155692100525, -0.07778450846672058, -0.06444115936756134, 0.10193496942520142, 0.06298282742500305, -0.15059520304203033, -0.1944812387228012, 0.06807641685009003, -0.17009124159812927, -0.12462711334228516, -0.056630540639162064, -0.009708092547953129, 0.012944122776389122, 0.14913688600063324, 0.10844695568084717, 0.09218695759773254, 0.11164306849241257, 0.0518164187669754, 0.15524962544441223, 0.0, 0.0923067256808281, -0.21393735706806183, -0.16997146606445312, -0.07916298508644104, 0.06807641685009003, 0.020954348146915436, -0.029164204373955727, 0.13761116564273834, 0.06803649663925171, 0.18938764929771423, -0.14590086042881012, -0.045384280383586884, 0.17979933321475983, -0.1342952698469162, 0.3335108160972595, -0.15552911162376404, -0.022732065990567207, -0.03737405315041542, 0.20253139734268188, -0.051776494830846786, 0.02912427857518196, 0.0677570104598999, 0.01799779385328293, -0.0940445214509964, -0.06621885299682617, -0.03567618876695633, -0.07604672014713287, 0.07450856268405914, 0.009388700127601624, 0.10990527272224426, 0.06298282742500305, 0.1342952698469162, 0.02111404947936535, -0.008289709687232971, 0.17009124159812927, -0.022652214393019676, 0.08903077244758606, 0.12648466229438782, -0.003236030228435993, -0.12316879630088806, 0.16855306923389435, 0.05651076138019562, -0.18942758440971375, 0.06807641685009003, -0.2816943824291229, 0.027705885469913483, -0.10375261306762695, 0.17182902991771698, -0.05824855715036392, 0.009708092547953129, 0.06480046361684799, -0.10375261306762695, 0.019416185095906258, 0.009708092547953129, -0.14400336146354675, 0.00141838937997818, -0.0031561851501464844, 0.042068399488925934, -0.15379130840301514, 0.06018596142530441, -0.19092582166194916, 0.03721435368061066, -0.10233423113822937, -0.04712207615375519, 0.03425779938697815, -0.024469859898090363, 0.016260001808404922, 0.16026337444782257, 0.21034200489521027, 0.17979933321475983, -0.0454242005944252, 0.12316879630088806, -0.1588449776172638, 0.13942879438400269, -0.05667046085000038, -0.012944122776389122, -0.009708092547953129, 0.05836832523345947, 0.10517099499702454, 0.003236030228435993, 0.12312886863946915, -0.00141838937997818, -0.055132292211055756, -0.032080844044685364, 0.034177958965301514, -0.03244015574455261, -0.04534435272216797, 0.08575481921434402, -0.10549040138721466, 0.020994272083044052, 0.0, -0.06633862853050232, 0.022732065990567207, 0.08749260008335114, 0.0923067256808281, -0.03244015574455261, 0.07920289784669876, 0.08919047564268112, 0.16997146606445312]",[Special Topics on Software Engineering],[DevOps Engineer]
DevSecOps,"[0.0, -0.1325974464416504, -0.031535107642412186, -0.013957626186311245, -0.07340798527002335, -0.1465550810098648, 0.17279084026813507, -0.1764107048511505, -0.1430656611919403, -0.0016794800758361816, -0.12561863660812378, 0.008527830243110657, -0.03670399263501167, -0.16077359020709991, 0.26571667194366455, 0.02261592075228691, -0.10145368427038193, -0.06448879837989807, 0.07521791011095047, -0.07340798527002335, -0.017447033897042274, 0.036703988909721375, -0.008919186890125275, 0.13970670104026794, -0.14836499094963074, 0.08374575525522232, -0.12755900621414185, -0.10817160457372665, 0.0576404333114624, 0.08374575525522232, 0.18351994454860687, 0.1465550810098648, -0.28458231687545776, -0.23043128848075867, -0.15534381568431854, 0.038383468985557556, -0.10662256926298141, 0.07159805297851562, -0.09072457253932953, -0.1360868513584137, 0.09072457253932953, -0.19902661442756653, 0.06655961275100708, 0.026105325669050217, 0.02791525237262249, 0.05221065133810043, -0.08904508501291275, 0.11515042185783386, 0.09240405261516571, 0.14668551087379456, -0.1048126369714737, 0.0819358229637146, 0.07159805297851562, 0.09421397745609283, -0.26364585757255554, 0.015767553821206093, 0.04174242913722992, -0.06099938973784447, -0.2672657072544098, 0.10817159712314606, -0.054020579904317856, -0.03321458399295807, 0.0576404333114624, -0.10636168718338013, 0.05931990593671799, 0.12574908137321472, -0.1360868513584137, -0.052341096103191376, -0.1325974464416504, 0.17976966500282288, -0.21996307373046875, 0.08038679510354996, 0.21479417383670807, 0.04187287762761116, -0.031535107642412186, 0.14849545061588287, -0.01912650838494301, 0.14836499094963074, 0.06461924314498901, -0.04187287762761116, 0.02623577043414116, 0.1430656760931015, 0.06642916798591614, 0.15185441076755524, -0.10313316434621811, -0.013957626186311245, -0.1465550810098648, 0.1885583996772766, 0.09072457253932953, 0.08361532539129257, -0.17111137509346008, -0.13634774088859558, 0.006978810764849186, 0.0069788130931556225, -0.0784464180469513, 0.09227359294891357, -0.04019339755177498, 0.17124180495738983, -0.017447033897042274, -0.08387620002031326, 0.08917553722858429, 0.008658289909362793, -0.12406960129737854, -0.13453781604766846, -0.1731821596622467, 0.04717221111059189, -0.4156306982040405, -0.1395762711763382, 0.23405113816261292, 0.04355236515402794, -0.012017250061035156, 0.1360868513584137, 0.11360138654708862, -0.08374575525522232, 0.04562316834926605, 0.03670399263501167, 0.0385139174759388, 0.13104841113090515, 0.02261592075228691, 0.00167948380112648, -0.14138618111610413, 0.01912650838494301, 0.02623577043414116, -0.25847697257995605, 0.14668551087379456, -0.11515042185783386, -0.16762195527553558, 0.007109254598617554]",[Application Security],[DevSecOps Engineer]
Disaster Recovery,"[0.0, -0.0448441207408905, 0.0, 0.05775371193885803, 0.0, -0.10259783267974854, 0.14744195342063904, -0.20519566535949707, -0.10259783267974854, 0.10259783267974854, 0.10259783267974854, -0.10259783267974854, 0.10259783267974854, -0.14744195342063904, 0.0, 0.0, -0.10259783267974854, 0.0, -0.14744195342063904, 0.10259783267974854, -0.10259783267974854, -0.2500397861003876, -0.10259783267974854, 0.10259783267974854, -0.14744195342063904, -0.10259783267974854, 0.14744195342063904, 0.14744195342063904, 0.0, 0.0, -0.14744195342063904, 0.0, -0.2500397861003876, -0.10259783267974854, -0.10259783267974854, 0.14744195342063904, 0.0, 0.0, -0.20519566535949707, 0.10259783267974854, -0.10259783267974854, 0.05775371193885803, -0.10259783267974854, 0.10259783267974854, -0.10259783267974854, -0.10259783267974854, 0.14744195342063904, 0.10259783267974854, -0.14744195342063904, 0.10259783267974854, -0.14744195342063904, -0.0448441207408905, -0.14744195342063904, 0.0, 0.10259783267974854, 0.0, 0.0448441207408905, -0.0448441207408905, -0.10259783267974854, -0.14744195342063904, 0.0, -0.10259783267974854, -0.0448441207408905, -0.10259783267974854, 0.05775371193885803, -0.2500397861003876, 0.10259783267974854, -0.10259783267974854, -0.10259783267974854, 0.0448441207408905, -0.14744195342063904, -0.14744195342063904, -0.0448441207408905, 0.14744195342063904, 0.14744195342063904, -0.2500397861003876, 0.0, 0.10259783267974854, 0.10259783267974854, 0.0448441207408905, -0.10259783267974854, 0.0, 0.10259783267974854, 0.10259783267974854, 0.14744195342063904, -0.10259783267974854, 0.0, 0.10259783267974854, 0.0, -0.14744195342063904, 0.2500397861003876, 0.14744195342063904, -0.14744195342063904, -0.10259783267974854, -0.20519566535949707, 0.0, 0.0, 0.0, 0.0, -0.14744195342063904, 0.0, 0.2500397861003876, 0.14744195342063904, -0.10259783267974854, 0.0, -0.0448441207408905, 0.10259783267974854, -0.0448441207408905, 0.0, 0.10259783267974854, 0.0, -0.2500397861003876, 0.10259783267974854, 0.0, -0.10259783267974854, 0.0, -0.10259783267974854, 0.0, -0.10259783267974854, 0.0, -0.10259783267974854, 0.20519566535949707, 0.0448441207408905, 0.0, 0.2500397861003876, -0.10259783267974854, 0.10259783267974854, -0.2500397861003876]",[],[IT Business Continuity Manager]
Docker,"[-0.0009622491779737175, -0.03624487668275833, -0.23543061316013336, -0.3364672362804413, -0.04907473921775818, -0.17160190641880035, -0.1069706454873085, 0.020367756485939026, -0.13375313580036163, -0.20864810049533844, -0.06158440187573433, -0.05821530520915985, 0.004650747403502464, 0.013471505604684353, 0.0535653755068779, -0.1547621190547943, 0.011226382106542587, -0.1711207777261734, 0.03512251749634743, -0.08115000277757645, -0.018924381583929062, 0.02517860010266304, 0.14514003694057465, -0.09590476751327515, 0.22083674371242523, 0.04233900085091591, -0.08612176030874252, 0.03014995902776718, 0.0790649950504303, 0.09365925192832947, -0.21859204769134521, -0.10520583391189575, -0.252269983291626, -0.019566014409065247, -0.10376328974962234, 0.1924503743648529, 0.1281401515007019, 0.18940310180187225, 0.15845060348510742, -0.0603015273809433, -0.0429806262254715, 0.024056244641542435, -0.10007397830486298, 0.19453498721122742, -0.2152237445116043, 0.07826285809278488, -0.2221200168132782, 0.15460242331027985, -0.14129061996936798, 0.034962013363838196, 0.1311865895986557, 0.012990772724151611, -0.03832988440990448, -0.12701697647571564, -0.19004514813423157, -0.01427323929965496, 0.12028203159570694, 0.07938520610332489, 0.08772524446249008, -0.002566121518611908, 0.1486675888299942, 0.15732824802398682, 0.10183797031641006, -0.0030472688376903534, -0.1388849914073944, -0.11065913736820221, 0.05549027770757675, -0.06735748797655106, -0.08756513893604279, 0.20736564695835114, 0.0987907201051712, -0.013471505604684353, -0.010103623382747173, -0.2537137567996979, 0.009622909128665924, -0.011707507073879242, 0.11947989463806152, -0.1002344936132431, 0.09798937290906906, 0.051320258527994156, -0.11466864496469498, 0.03624487668275833, 0.057414375245571136, -0.11338496953248978, 0.06527248024940491, -0.015395596623420715, 0.06639523804187775, -0.22612911462783813, 0.046188388019800186, -0.2206762284040451, 0.10135725140571594, 0.08243246376514435, 0.007056364789605141, 0.04073593020439148, -0.012670159339904785, 0.127177894115448, 0.17015811800956726, 0.17801623046398163, 0.03913162648677826, 0.11611160635948181, 0.05276363343000412, -0.11306476593017578, 0.1393665373325348, 0.16983750462532043, -0.131026491522789, 0.023254506289958954, -0.029509129002690315, 0.05067862570285797, 0.1019984781742096, 0.31481701135635376, -0.0441029891371727, 0.08467798680067062, -0.09574346244335175, -0.07665897905826569, 0.019886229187250137, 0.05917876958847046, 0.03175424411892891, -0.019084889441728592, -0.0319143570959568, 0.06976352632045746, -0.039612751454114914, 0.09382016211748123, -0.045065633952617645, 0.09622538834810257, 0.013471096754074097, -0.0426604300737381, 0.1202816367149353, 0.17256373167037964]",[Operating System],[DevOps Engineer]
ETL,"[0.09207046031951904, 0.08336615562438965, -0.1880786120891571, 0.11182166635990143, 0.1394314169883728, 0.0020001232624053955, -0.26163727045059204, -0.08620762079954147, -0.10629743337631226, 0.07017748057842255, 0.04970667138695717, -0.04365411400794983, 0.03866958990693092, -0.16436412930488586, -0.03470347821712494, 0.2114262729883194, -0.17489691078662872, -0.029339253902435303, 0.05001271516084671, -0.2416040301322937, -0.00787690281867981, -0.14380542933940887, -0.10713593661785126, 0.19169911742210388, 0.12734051048755646, 0.20975056290626526, 0.22376221418380737, -0.1730017364025116, -0.2818627655506134, 0.1382811963558197, 0.2891790270805359, 0.06807681918144226, 0.14095258712768555, 0.010178662836551666, 0.07500046491622925, 0.11703570932149887, -0.10379018634557724, -0.18698936700820923, 0.13763681054115295, -0.09620510041713715, -0.27868008613586426, -0.07478101551532745, 0.005694307386875153, 0.039590299129486084, 0.1641940325498581, 0.013889923691749573, 0.07285042852163315, -0.13445673882961273, 0.04661732167005539, 0.1827937215566635, -0.09057179093360901, 0.047584813088178635, -0.034313954412937164, 0.1832980215549469, -0.0025496436282992363, 0.06583037227392197, -0.039420224726200104, -0.21390071511268616, -0.0598018579185009, 0.03419918566942215, 0.30529138445854187, -0.04013000428676605, -0.05291208252310753, 0.16074231266975403, -0.04956786707043648, -0.20854657888412476, 0.05884573608636856, 0.28906142711639404, 0.04999150335788727, -0.11405260860919952, 0.04925769194960594, -0.09633537381887436, 0.14911019802093506, 0.050771865993738174, 0.04967126250267029, -0.09696425497531891, -0.12308259308338165, 0.06415464729070663, 0.006832912564277649, -0.04575193673372269, 0.026534751057624817, 0.04854092746973038, -0.24688196182250977, -0.142799973487854, 0.043441642075777054, 0.19485075771808624, 0.019724326208233833, -0.2684631943702698, -0.046397872269153595, -0.02176683023571968, 0.07825704663991928, -0.11862923949956894, 0.025700371712446213, -0.09835667908191681, -0.08198510110378265, 0.1773671954870224, 0.014857418835163116, 0.04799993336200714, -0.14559590816497803, 0.024823609739542007, 0.03937782347202301, 0.1691434234380722, 0.033789753913879395, -0.05109057575464249, -0.15485388040542603, -0.00966739747673273, -0.22310078144073486, -0.055961884558200836, 0.06135997176170349, 0.025784119963645935, -0.07687883079051971, 0.0888834074139595, 0.0718064233660698, 0.06666190922260284, 0.19062823057174683, -0.17911943793296814, 0.1425391286611557, 0.20664983987808228, 0.09164551645517349, -0.3117900490760803, -0.038330983370542526, 0.16250281035900116, 0.01848491281270981, 0.08529543876647949, 0.10918129980564117, -0.2470037043094635, 0.2894708514213562, 0.017619527876377106]","[Data Mining, Big Data]",[Data Engineer]
