name,embedding,description,required_skills,recommended_classes
Data Scientist,"[0.030897242948412895, 0.01604633405804634, 0.029629431664943695, 0.05717343091964722, 0.12404999136924744, 0.07880142331123352, 0.021045051515102386, -0.04256827384233475, -0.049487706273794174, 0.11323777586221695, 0.04453616961836815, 0.22710520029067993, 0.07071913778781891, -0.002563655376434326, 0.29191333055496216, 0.09898211807012558, -0.09931255877017975, -0.1291142702102661, 0.1545984148979187, -0.06346996128559113, 0.22584357857704163, -0.1547810435295105, -0.06801805645227432, 0.3661078214645386, 0.0345718152821064, 0.11538585275411606, 0.02127128466963768, 0.0301370806992054, 0.1081017404794693, 0.11210852861404419, 0.104799285531044, 0.13057641685009003, -0.04877530038356781, -0.11525655537843704, 0.026616346091032028, 0.273806631565094, -0.08039411902427673, 0.0768832415342331, 0.06899528205394745, -0.1540062129497528, -0.03231397271156311, -0.0016080290079116821, -0.12896659970283508, -0.08354946225881577, 0.05802370235323906, -0.034522123634815216, 0.10296016186475754, -0.24169614911079407, 0.180236354470253, 0.1904306411743164, 0.2405884563922882, 0.0998452827334404, 0.14029797911643982, 0.1304599493741989, -0.04785642772912979, -0.10667149722576141, -0.2325526475906372, -0.013304201886057854, 0.029456567019224167, -0.07907304912805557, 0.061161208897829056, 0.02017943188548088, 0.1325467824935913, 0.0001379331515636295, 0.12472803145647049, 0.06149043142795563, -0.00036782462848350406, -0.1010223776102066, 0.08723567426204681, 0.002815084531903267, 0.00005089864134788513, -0.13182887434959412, 0.0012083109468221664, -0.08550997078418732, -0.04095233604311943, -0.06224264204502106, -0.07461564242839813, -0.06828533858060837, -0.0886174738407135, 0.18409237265586853, 0.1003032699227333, 0.12318132817745209, -0.03992301598191261, -0.1970808506011963, -0.013853475451469421, 0.074714295566082, 0.006040878593921661, -0.000049017369747161865, 0.046809304505586624, 0.14174237847328186, -0.1217026561498642, -0.24775609374046326, -0.0195915587246418, -0.08910049498081207, 0.009336000308394432, 0.2482672929763794, 0.13258902728557587, -0.19753943383693695, -0.017922844737768173, -0.03629201278090477, 0.16133514046669006, -0.1550808548927307, -0.1429622918367386, -0.26960480213165283, -0.14406080543994904, -0.041329335421323776, -0.06719842553138733, -0.25651389360427856, 0.06990807503461838, -0.07740496098995209, 0.012135745957493782, 0.10870741307735443, 0.16118617355823517, 0.041670192033052444, 0.09936099499464035, 0.06643825769424438, 0.009089561179280281, 0.09125722944736481, -0.048000484704971313, 0.06310086697340012, 0.04726788029074669, 0.25454971194267273, 0.2364981770515442, -0.08320986479520798, 0.05445333570241928, -0.05220653489232063, 0.04890407994389534, -0.1423645317554474]",Analyze big data,"[Python, R, Machine Learning]","[Artificial Intelligence Concepts, Machine Learning, Competitive Programming, Image Processing and Computer Vision, Applied Data Science Programming, Deep Learning, Text Mining, Multivariate Data Analysis, Special Topics on Intelligent Computation and Vision]"
Database Administrator,"[-0.035302020609378815, -0.05998970568180084, -0.1989818662405014, 0.24022197723388672, -0.058810070157051086, -0.16713647544384003, -0.20526540279388428, 0.1795414388179779, -0.18429991602897644, -0.16402527689933777, -0.17354221642017365, -0.22871236503124237, -0.009516951628029346, -0.07989776879549026, -0.22324183583259583, 0.10157525539398193, -0.1750061810016632, 0.02537853829562664, 0.01268926914781332, -0.0571628138422966, -0.12748250365257263, -0.15926678478717804, 0.11802665889263153, 0.07902362942695618, 0.2302374243736267, 0.19017691910266876, 0.06245000660419464, 0.03337043151259422, -0.16243910789489746, 0.2866271138191223, 0.05840356647968292, -0.14499135315418243, -0.08900818973779678, -0.28805112838745117, 0.2866882085800171, 0.010635487735271454, -0.09846403449773788, -0.009923473000526428, 0.14545898139476776, 0.29468008875846863, -0.2386358380317688, -0.10051782429218292, -0.13423365354537964, 0.03330933302640915, -0.015577271580696106, -0.21049149334430695, -0.16872264444828033, -0.012567073106765747, -0.18582496047019958, 0.16367985308170319, -0.0746716558933258, -0.014681950211524963, 0.022551648318767548, -0.05246543511748314, -0.058810070157051086, -0.03337043151259422, 0.03337043151259422, -0.23552460968494415, -0.16085293889045715, -0.009862370789051056, 0.09728439897298813, 0.09093977510929108, -0.24221466481685638, 0.2073802649974823, -0.05399049445986748, -0.18747223913669586, 0.1398874819278717, 0.05445811524987221, 0.004758474882692099, 0.020620062947273254, -0.12067025899887085, 0.017976464703679085, 0.1493433117866516, 0.09211940318346024, -0.004290856420993805, -0.12866215407848358, -0.1572130024433136, 0.2815232276916504, -0.07031970471143723, 0.20961734652519226, -0.023792380467057228, -0.19269832968711853, -0.1668521761894226, 0.07989775389432907, -0.202560693025589, -0.006405733525753021, 0.014681950211524963, 0.043232813477516174, 0.00793079286813736, 0.04130122438073158, 0.009171523153781891, 0.01268926914781332, -0.011509642004966736, -0.28351590037345886, -0.06192128732800484, 0.16996337473392487, -0.00317231728695333, -0.09053324162960052, -0.0968167781829834, 0.01268926914781332, -0.22560115158557892, -0.1814730167388916, -0.13348174095153809, -0.025439638644456863, -0.0671473890542984, -0.15603338181972504, 0.010045671835541725, -0.24310998618602753, -0.042887382209300995, -0.023792380467057228, -0.15263783931732178, 0.012750368565320969, 0.10757448524236679, 0.07149934023618698, 0.2006291151046753, -0.20408576726913452, 0.13659295439720154, -0.03212970495223999, 0.03212969750165939, 0.04652732238173485, 0.06550014019012451, -0.009984571486711502, 0.017508845776319504, 0.025439638644456863, 0.13177336752414703, -0.20526540279388428, 0.03847433626651764, 0.2359922230243683]",Manage databases,"[SQL, Database Management]","[Database System, Database Management, Special Topics on Information Intelligent Management, Distributed Database]"
Database Analyst,"[-0.05849909037351608, -0.08431582152843475, -0.2385055124759674, 0.2820531129837036, -0.03343472257256508, -0.1757834404706955, -0.20649825036525726, 0.19037491083145142, -0.20178022980690002, -0.16295066475868225, -0.2243802547454834, -0.23910674452781677, -0.022810645401477814, -0.08013787865638733, -0.20174962282180786, 0.11080766469240189, -0.20002156496047974, 0.11041703820228577, 0.016589559614658356, -0.03486219421029091, -0.11124329268932343, -0.19301924109458923, 0.14947162568569183, 0.011225298047065735, 0.1956941783428192, 0.12578971683979034, 0.05214298516511917, 0.019309479743242264, -0.2254171073436737, 0.223658487200737, -0.010548502206802368, -0.15880325436592102, -0.13620321452617645, -0.23979796469211578, 0.2818424701690674, -0.02596619725227356, -0.05935590714216232, 0.013298988342285156, 0.14511364698410034, 0.34806573390960693, -0.22580774128437042, -0.10191166400909424, -0.10416539013385773, 0.07698231935501099, -0.008370362222194672, -0.2428329437971115, -0.19340984523296356, 0.02539553865790367, -0.15836763381958008, 0.1413874477148056, -0.12104111909866333, 0.001893661916255951, 0.022344455122947693, -0.08449584990739822, -0.03343472257256508, -0.019309479743242264, 0.05792843922972679, -0.2129749357700348, -0.1305527687072754, -0.005754873156547546, 0.04709376394748688, 0.13677385449409485, -0.2635698616504669, 0.23000012338161469, -0.0797022357583046, -0.19555914402008057, 0.16445371508598328, 0.06601262837648392, -0.02721363678574562, 0.021773796528577805, -0.1373750865459442, 0.07248930633068085, 0.08760639280080795, 0.1490359902381897, -0.025094933807849884, -0.08488647639751434, -0.15046347677707672, 0.267927885055542, -0.11500006169080734, 0.17392033338546753, -0.015552712604403496, -0.1932748556137085, -0.13516636192798615, 0.08013786375522614, -0.23764869570732117, -0.048596810549497604, -0.001893661916255951, 0.06368334591388702, 0.005184237379580736, 0.024493716657161713, 0.03701145946979523, -0.022029399871826172, -0.042946383357048035, -0.2494446337223053, -0.046267516911029816, 0.14799915254116058, 0.006221084855496883, -0.0927906334400177, -0.09940233826637268, 0.016589559614658356, -0.26489293575286865, -0.19094553589820862, -0.11585690081119537, -0.014125242829322815, -0.08260218799114227, -0.176820307970047, 0.02868611551821232, -0.27383390069007874, -0.04212012514472008, -0.015552712604403496, -0.12337040901184082, -0.0024643167853355408, 0.15404023230075836, 0.050024282187223434, 0.23707802593708038, -0.19423609972000122, 0.12868967652320862, -0.10333915054798126, 0.026101216673851013, 0.06082838773727417, 0.0840296745300293, -0.047739993780851364, 0.047559965401887894, 0.014125242829322815, 0.1363382339477539, -0.16787928342819214, 0.013659060001373291, 0.1992853283882141]",Manage databases,"[SQL, Database Management, Oracle]","[Database System, Database Management, Special Topics on Information Intelligent Management, Distributed Database]"
DevOps Engineer,"[0.0, -0.008803483098745346, -0.24347272515296936, -0.29629361629486084, 0.07923135906457901, -0.20594730973243713, -0.035213932394981384, 0.035213932394981384, -0.21475079655647278, -0.16957764327526093, -0.05282090976834297, -0.03334483504295349, 0.10030551254749298, 0.08269854635000229, -0.12671595811843872, -0.15961843729019165, 0.035213932394981384, -0.15961843729019165, -0.05628810450434685, -0.0539766289293766, -0.008803483098745346, 0.018762696534395218, 0.17606967687606812, -0.02525472268462181, 0.19829954206943512, 0.10910899937152863, -0.05282089486718178, 0.09381349384784698, 0.008803483098745346, 0.10679753124713898, -0.24649757146835327, -0.18949607014656067, -0.16424137353897095, 0.008803483098745346, -0.060468655079603195, 0.08919055759906769, 0.19714383780956268, 0.10679753124713898, 0.20710304379463196, -0.13089652359485626, -0.06162438914179802, 0.11560101807117462, -0.14547865092754364, 0.2698831558227539, -0.150814950466156, -0.02525472640991211, -0.14965923130512238, 0.1936766356229782, -0.0539766289293766, 0.017606966197490692, 0.09381349384784698, 0.06927214562892914, -0.0968383178114891, -0.1190681979060173, -0.10564181953668594, -0.027566179633140564, 0.10564181953668594, 0.049796074628829956, 0.12787169218063354, 0.07389506697654724, 0.14547865092754364, 0.07923135161399841, 0.05744381248950958, 0.10679753124713898, -0.0539766289293766, -0.016451232135295868, 0.13089652359485626, -0.03636966273188591, -0.10564180463552475, 0.18487314879894257, 0.10146123170852661, -0.13551944494247437, 0.026410451158881187, -0.3227040767669678, 0.06927214562892914, -0.08803483843803406, 0.14085572957992554, -0.11791248619556427, 0.017606966197490692, 0.07042786478996277, -0.1144452914595604, 0.008803483098745346, 0.008803483098745346, -0.136675164103508, 0.05744381248950958, -0.029877647757530212, 0.03636966273188591, -0.15197068452835083, 0.02294325828552246, -0.19945529103279114, 0.0539766289293766, -0.030591025948524475, -0.05166517570614815, 0.030591025948524475, -0.041705965995788574, 0.08803483843803406, 0.2159065157175064, 0.18184833228588104, 0.12440450489521027, 0.018762696534395218, 0.0968383178114891, -0.15846270322799683, 0.17606967687606812, 0.05282089486718178, -0.045173145830631256, 0.008803483098745346, 0.017606966197490692, 0.045173145830631256, 0.03636966273188591, 0.20363585650920868, -0.05744381248950958, 0.009959211573004723, -0.023385629057884216, 0.024098992347717285, -0.03405820205807686, 0.016451232135295868, 0.03636966273188591, -0.08687910437583923, 0.04401741921901703, 0.026410454884171486, -0.045173145830631256, 0.06927216053009033, 0.008803483098745346, 0.11560101807117462, -0.0428616888821125, 0.048640333116054535, 0.10564180463552475, 0.2159065157175064]",Streamline devops,"[Docker, Jenkins, DevOps]","[Operating System, Special Topics on Software Engineering]"
DevSecOps Engineer,"[-0.02732110023498535, -0.1267448514699936, 0.02239077538251877, 0.02732110023498535, -0.00493033230304718, -0.16772650182247162, 0.21060810983181, -0.1931476593017578, -0.15406595170497894, 0.05274225026369095, -0.09069352596998215, -0.06640281528234482, -0.020490825176239014, -0.15026605129241943, 0.2098385989665985, 0.04288160055875778, -0.12294495850801468, -0.07020270079374313, 0.03908170759677887, -0.13660550117492676, 0.02732110023498535, 0.05654215067625046, -0.06640281528234482, 0.236029252409935, -0.1472356766462326, 0.0633724257349968, -0.1297752410173416, -0.09942375123500824, 0.020490825176239014, 0.0633724257349968, 0.21173852682113647, 0.036051325500011444, -0.2565200924873352, -0.2994017004966736, -0.08386325091123581, 0.02732110023498535, -0.12484490871429443, 0.047811925411224365, -0.09069352596998215, -0.16279618442058563, 0.09069352596998215, -0.1726568341255188, 0.11421474069356918, 0.07893292605876923, 0.09069352596998215, 0.04478155076503754, -0.11118435114622116, 0.036051325500011444, 0.10625402629375458, 0.19997793436050415, -0.14533573389053345, 0.07020270079374313, 0.08386325091123581, 0.0633724257349968, -0.1931476593017578, 0.025421157479286194, 0.02239077538251877, -0.07020270079374313, -0.3658044934272766, 0.15406595170497894, -0.01556050032377243, -0.08879358321428299, 0.08879358321428299, -0.16089622676372528, 0.1267448514699936, 0.14533573389053345, -0.1267448514699936, -0.0633724257349968, -0.1813870519399643, 0.11991457641124725, -0.236029252409935, 0.06830275803804398, 0.23412930965423584, 0.0633724257349968, -0.00493033230304718, 0.1297752410173416, -0.10625402629375458, 0.1472356766462326, 0.047811925411224365, -0.008730225265026093, 0.020490825176239014, 0.21743838489055634, 0.04591197520494461, 0.05654215067625046, -0.10245413333177567, -0.02732110023498535, -0.16279618442058563, 0.20870815217494965, 0.036051325500011444, 0.08083288371562958, -0.236029252409935, -0.15026605129241943, 0.0633724257349968, 0.0, -0.13357512652873993, 0.08766315132379532, -0.020490825176239014, 0.09562385082244873, -0.02732110023498535, -0.08196330070495605, 0.10245413333177567, 0.01556050032377243, -0.10245413333177567, -0.1297752410173416, -0.09865424036979675, 0.08879358321428299, -0.42234665155410767, -0.19011728465557098, 0.21363848447799683, 0.0018999464809894562, 0.03908170759677887, 0.1267448514699936, 0.16582655906677246, -0.1813870519399643, -0.0037998929619789124, -0.006830275058746338, 0.04591197520494461, 0.16582655906677246, 0.04288160055875778, -0.020490825176239014, -0.11991457641124725, -0.047811925411224365, -0.006830275058746338, -0.24095958471298218, 0.04098165035247803, -0.09069352596998215, -0.14533573389053345, 0.01859087496995926]",Secure DevOps pipeline,"[DevSecOps, CI/CD]","[Application Security, Software Construction]"
Front-end Developer,"[0.005863100290298462, -0.05398385226726532, -0.2180916965007782, 0.34818726778030396, 0.1838049292564392, 0.03519293665885925, -0.09464192390441895, 0.14465051889419556, -0.0750131830573082, -0.006357526872307062, 0.3351222276687622, -0.11091330647468567, -0.3444385826587677, 0.053359344601631165, -0.11525234580039978, 0.1390553116798401, 0.10185766965150833, -0.07203340530395508, -0.09301478415727615, -0.08515357971191406, -0.13857467472553253, -0.07115479558706284, 0.012742623686790466, 0.007593313232064247, 0.2512248158454895, 0.1255575567483902, -0.045662954449653625, -0.04674771428108215, 0.17612230777740479, -0.04637675732374191, -0.09952334314584732, -0.03596186265349388, 0.01892155222594738, 0.07864502817392349, -0.04864934831857681, 0.0696924701333046, -0.0168754979968071, 0.11579472571611404, -0.09872685372829437, 0.1235528513789177, 0.26983049511909485, -0.12441106140613556, 0.2594018578529358, -0.019813932478427887, 0.11710603535175323, -0.05700498819351196, -0.08054005354642868, -0.04251835495233536, -0.08872370421886444, 0.005362063646316528, 0.05967553332448006, 0.06461867690086365, 0.06459830701351166, -0.022676877677440643, -0.287832111120224, 0.0618312694132328, -0.20165550708770752, 0.27177348732948303, -0.031341150403022766, 0.2544790804386139, -0.00022654235363006592, -0.03141006827354431, -0.02895887941122055, -0.09432609379291534, -0.06888219714164734, -0.04733804613351822, -0.11639884114265442, 0.08060178905725479, -0.11212152987718582, -0.11313077807426453, -0.12457586824893951, -0.15217553079128265, -0.03665526956319809, 0.06335532665252686, 0.024468813091516495, 0.23712293803691864, -0.07576170563697815, -0.08114416897296906, 0.026514865458011627, -0.16732078790664673, 0.03308515250682831, 0.021859992295503616, 0.019903235137462616, -0.07344777882099152, -0.07044760882854462, -0.11948830634355545, 0.19590207934379578, -0.17165982723236084, 0.0065085552632808685, -0.05836423486471176, 0.03884516656398773, -0.03585877642035484, -0.07309777289628983, 0.032048337161540985, -0.04501750320196152, 0.022889629006385803, 0.08478261530399323, 0.020322147756814957, -0.14383365213871002, -0.04842280223965645, -0.04397408664226532, -0.020191505551338196, -0.06383597105741501, -0.1953735053539276, -0.013682946562767029, -0.05678503215312958, -0.3416925072669983, -0.013786029070615768, 0.02306821197271347, 0.0014005973935127258, 0.015625938773155212, 0.058034610003232956, -0.0657309964299202, -0.0575401708483696, 0.029892604798078537, -0.03477402403950691, -0.005588605999946594, -0.09452507644891739, 0.0786246582865715, 0.17137154936790466, -0.11784078925848007, -0.02348713018000126, -0.06835360825061798, 0.06526413559913635, 0.017624035477638245, -0.12338803708553314, -0.13592451810836792, -0.14817267656326294]",Develop web interfaces,"[HTML, CSS, JavaScript, React]","[Web Programming, Framework-based Programming, Interface Programming]"
Full-stack Developer,"[-0.0052036140114068985, 0.023416243493556976, 0.1380564272403717, 0.10027400404214859, 0.17451384663581848, 0.0052036140114068985, -0.14196716248989105, 0.026066266000270844, 0.022793926298618317, 0.13219834864139557, 0.11981165409088135, -0.027997540310025215, -0.36728858947753906, 0.13738587498664856, 0.06316209584474564, 0.06250762939453125, -0.056649547070264816, 0.021468929946422577, -0.024741264060139656, -0.04558785259723663, 0.014334037899971008, 0.09246857464313507, -0.12504740059375763, 0.17258258163928986, 0.16477717459201813, 0.0898667722940445, -0.0052036140114068985, -0.018228713423013687, 0.09899719059467316, -0.06969071179628372, -0.037766363471746445, 0.0032562727574259043, 0.07032911479473114, 0.0325627475976944, -0.026050200685858727, -0.05992189049720764, 0.060544222593307495, 0.1159009039402008, 0.17125758528709412, -0.05992189049720764, 0.09637930989265442, -0.0983266532421112, 0.1100267618894577, -0.04818965494632721, 0.2604859471321106, 0.08922836929559708, -0.01821264624595642, -0.2084016054868698, -0.0735853910446167, 0.037766363471746445, -0.22985446453094482, -0.11459194868803024, -0.0631781667470932, 0.17124150693416595, -0.14391452074050903, 0.013041168451309204, -0.06381656229496002, 0.1699647158384323, -0.15954142808914185, 0.08988285064697266, -0.05015306919813156, -0.06512550264596939, -0.02603413537144661, 0.03905923292040825, -0.20185692608356476, -0.12241344898939133, -0.13349121809005737, 0.19210417568683624, 0.06380049884319305, -0.21684543788433075, -0.03971370309591293, 0.026704661548137665, -0.12892600893974304, 0.14784131944179535, 0.13478408753871918, 0.18755502998828888, 0.041693173348903656, 0.149756520986557, -0.04688072204589844, -0.037766363471746445, 0.022793926298618317, -0.009768825955688953, 0.14650024473667145, 0.0442628487944603, -0.1321822702884674, -0.07163805514574051, 0.09963559359312057, -0.13543854653835297, 0.16929417848587036, -0.12046611309051514, 0.025427892804145813, 0.15496014058589935, -0.05925135314464569, 0.12699474394321442, -0.05210040137171745, 0.11203835904598236, 0.22730085253715515, 0.1015668511390686, 0.03712797164916992, 0.02083052136003971, -0.08528546988964081, -0.08402475714683533, -0.20512928068637848, -0.05210040137171745, 0.007134869694709778, -0.18886396288871765, -0.14718684554100037, -0.03059934824705124, -0.023432325571775436, 0.11264462769031525, 0.09246857464313507, -0.016265306621789932, -0.06707283854484558, 0.10092846304178238, -0.14519131183624268, 0.1679852306842804, 0.009768825955688953, -0.20056405663490295, -0.0560111403465271, 0.250030517578125, -0.07095146924257278, -0.07162198424339294, 0.21033287048339844, -0.014956369996070862, 0.07682560384273529, -0.1452234536409378, -0.15301279723644257, -0.06381656229496002]",Develop full-stack apps and web applications,"[JavaScript, Node.js]","[Web Programming, Framework-based Programming]"
IT Analyst,"[0.06336450576782227, -0.17256507277488708, -0.14775416254997253, -0.0069787632673978806, 0.027448313310742378, -0.07868517190217972, -0.13758237659931183, -0.15371057391166687, 0.004467301070690155, -0.07524023950099945, 0.11583855748176575, 0.1522214710712433, -0.1717575490474701, 0.1412421464920044, -0.09468742460012436, -0.0710248351097107, -0.016468990594148636, 0.0036597754806280136, -0.12247652560472488, 0.12694382667541504, 0.01097932644188404, 0.08749382197856903, -0.007319549098610878, 0.09834720194339752, -0.009616173803806305, -0.12626226246356964, 0.028596628457307816, -0.19499045610427856, -0.054555848240852356, 0.20401395857334137, -0.150265634059906, -0.05442989617586136, -0.1211133748292923, 0.01097932644188404, 0.06919495016336441, 0.19682034850120544, -0.3515533208847046, -0.07524023950099945, 0.054555848240852356, 0.021832704544067383, -0.0708988830447197, 0.03327876701951027, -0.02229944057762623, -0.06119381636381149, -0.09468742460012436, 0.07800360023975372, -0.06621674448251724, -0.14294607937335968, 0.16537147760391235, -0.1295812427997589, 0.08166337013244629, -0.09583573788404465, 0.20618462562561035, -0.013275951147079468, -0.10132540762424469, -0.016683831810951233, -0.10451844334602356, -0.00548966322094202, 0.012809216044843197, -0.1928197741508484, 0.0910276472568512, 0.15771113336086273, 0.16226732730865479, -0.27801698446273804, 0.08553798496723175, -0.07890001684427261, -0.15554045140743256, -0.1825220286846161, -0.06587596237659454, -0.19281980395317078, -0.028937416151165962, -0.12796619534492493, -0.06357933580875397, -0.07685528695583344, -0.04310978204011917, 0.12843292951583862, -0.11962427198886871, 0.20916283130645752, 0.03498271107673645, 0.15920023620128632, -0.35840609669685364, -0.12464720755815506, 0.12464720755815506, -0.005956403911113739, -0.232395738363266, 0.06255696713924408, -0.06106787547469139, -0.05340753123164177, 0.02229944057762623, 0.024596065282821655, 0.025618428364396095, 0.21397091448307037, 0.03647180646657944, -0.20562899112701416, 0.09881393611431122, -0.009149443358182907, -0.01578741893172264, -0.232395738363266, -0.10430359840393066, -0.14545753598213196, -0.10830415785312653, 0.040472373366355896, 0.11869080364704132, 0.18401113152503967, -0.05089607834815979, -0.06289775669574738, 0.12579551339149475, -0.15541450679302216, 0.02298101782798767, 0.09183517098426819, -0.13609325885772705, 0.10579270124435425, 0.0018298877403140068, 0.008808650076389313, -0.016809776425361633, 0.10111057013273239, 0.12864777445793152, 0.17873631417751312, 0.13894551992416382, -0.03098214417695999, 0.016683831810951233, -0.040383480489254, 0.00949022639542818, 0.1404346227645874, -0.061875395476818085, -0.04093910753726959, 0.02710752747952938, -0.05638573318719864]",Analyze IT systems,"[IT Analysis, Troubleshooting]","[Practical Work, Final Project, Internship]"
IT Analyst Trainee,"[0.14047524333000183, -0.19666051864624023, -0.07024963200092316, -0.04214497283101082, -0.0561852902173996, -0.13109901547431946, -0.05149717256426811, -0.05149718001484871, 0.04214497283101082, -0.13581115007400513, -0.04680906981229782, 0.18728430569171906, -0.22476518154144287, 0.20601274073123932, -0.12174680829048157, -0.1123705804347992, -0.04214497283101082, 0.0, -0.060873404145240784, 0.03745685890316963, 0.0, -0.023416543379426003, 0.07960183173418045, 0.10770649462938309, -0.028080634772777557, -0.24815770983695984, 0.032768744975328445, -0.04214497283101082, -0.09833025932312012, 0.06556151807308197, -0.10770649462938309, -0.10770649462938309, -0.13578711450099945, 0.060873404145240784, 0.08895404636859894, 0.05149717256426811, -0.16855588555335999, -0.1638917773962021, 0.04214497283101082, 0.04214497283101082, -0.1030183732509613, -0.06556151807308197, 0.018728429451584816, -0.09364214539527893, -0.24818173050880432, -0.01406434178352356, -0.19197240471839905, -0.12643492221832275, 0.1592036634683609, -0.22942927479743958, 0.009352199733257294, -0.04214497283101082, 0.23414140939712524, 0.22007706761360168, -0.1123705804347992, -0.02810465544462204, -0.01406434178352356, -0.04214497283101082, 0.03745685890316963, -0.03745685890316963, 0.009376227855682373, 0.03745685890316963, 0.08428994566202164, -0.39332103729248047, 0.149851456284523, -0.11708272248506546, -0.19197240471839905, -0.1123705804347992, 0.12174680829048157, -0.12172279506921768, 0.0, -0.10770649462938309, 0.2153889536857605, -0.09364214539527893, -0.04214497283101082, 0.07022561132907867, -0.0561852902173996, 0.13112303614616394, -0.09364214539527893, -0.04214497283101082, -0.24349361658096313, 0.0561852902173996, 0.12643492221832275, 0.06556151807308197, -0.14982743561267853, 0.018728429451584816, -0.04214497283101082, -0.08428994566202164, 0.1030183732509613, 0.1592036634683609, 0.06556151807308197, -0.009352199733257294, 0.009376227855682373, -0.33713579177856445, 0.09364214539527893, -0.18728430569171906, 0.032768744975328445, -0.13109901547431946, -0.07491371780633926, -0.05620931088924408, -0.1123705804347992, -0.028080634772777557, 0.01406434178352356, 0.018728429451584816, -0.00935220718383789, 0.023416543379426003, -0.04214497283101082, -0.12174680829048157, -0.08428994566202164, -0.014040317386388779, -0.28563860058784485, 0.0561852902173996, -0.023416543379426003, -0.04214497283101082, 0.0, 0.09364215284585953, 0.08428994566202164, 0.28563857078552246, 0.08428994566202164, 0.004664093255996704, 0.01406434178352356, -0.10299436002969742, -0.060873404145240784, 0.19666051864624023, 0.15451554954051971, -0.018728429451584816, -0.13578712940216064, -0.2153889536857605]",Train as an IT analyst,"[IT Analysis, Training]",[]
IT Asset Manager,"[0.10425720363855362, 0.10425720363855362, 0.0, 0.25169914960861206, -0.10425720363855362, 0.0, 0.10425720363855362, 0.14744195342063904, 0.04318474978208542, -0.25169914960861206, 0.0, 0.20851440727710724, 0.10425720363855362, -0.14744195342063904, 0.25169914960861206, -0.10425720363855362, 0.14744195342063904, 0.14744195342063904, -0.10425720363855362, -0.10425720363855362, -0.10425720363855362, 0.0, 0.0, 0.0, 0.0, 0.10425720363855362, 0.25169914960861206, 0.0, 0.14744195342063904, -0.25169914960861206, 0.10425720363855362, 0.04318474978208542, 0.0, -0.10425720363855362, -0.25169914960861206, 0.0, 0.0, 0.20851440727710724, -0.25169914960861206, 0.10425720363855362, -0.10425720363855362, -0.25169914960861206, 0.0, -0.04318474978208542, 0.10425720363855362, 0.10425720363855362, -0.14744195342063904, 0.04318474978208542, -0.25169914960861206, -0.14744195342063904, -0.04318474978208542, 0.0, -0.10425720363855362, -0.04318474978208542, 0.10425720363855362, 0.14744195342063904, 0.14744195342063904, 0.10425720363855362, 0.14744195342063904, 0.35595637559890747, 0.0, -0.10425720363855362, 0.0, 0.10425720363855362, -0.10425720363855362, 0.0, 0.0, 0.25169914960861206, 0.0, 0.0, -0.10425720363855362, 0.0, 0.14744195342063904, -0.04318474978208542, -0.25169914960861206, 0.25169914960861206, 0.0, 0.10425720363855362, 0.04318474978208542, -0.10425720363855362, 0.0, -0.20851440727710724, -0.14744195342063904, 0.10425720363855362, 0.10425720363855362, -0.04318474978208542, 0.14744195342063904, 0.14744195342063904, 0.0, 0.0, 0.14744195342063904, -0.10425720363855362, -0.10425720363855362, 0.0, 0.10425720363855362, 0.0, -0.10425720363855362, 0.10425720363855362, -0.14744195342063904, 0.0, 0.10425720363855362, -0.25169914960861206, -0.10425720363855362, -0.10425720363855362, 0.04318474978208542, 0.25169914960861206, 0.20851440727710724, 0.14744195342063904, 0.0, 0.0, 0.0, 0.0, -0.10425720363855362, 0.14744195342063904, 0.0, -0.04318474978208542, -0.10425720363855362, 0.10425720363855362, 0.0, 0.0, -0.04318474978208542, -0.10425720363855362, -0.10425720363855362, -0.10425720363855362, -0.14744195342063904, 0.0, 0.10425720363855362, -0.20851440727710724]",Manage IT assets,"[IT Asset Management, Inventory]",[]
