name,embedding
Introduction to Intelligent Electrical and Informatics Technology,"[-0.004052624572068453, -0.0015488158678635955, -0.0021227234974503517, -0.0004728573840111494, -0.006267034914344549, -0.006677336525171995, -0.0012663700617849827, 0.0047501311637461185, 0.006975600961595774, 0.004743600729852915, -0.007639209274202585, 0.0028098851907998323, 0.005329852923750877, -0.0003205475222785026, 0.0034686203580349684, -0.0050416006706655025, 0.0075371586717665195, 0.0053367954678833485, 0.0049666753038764, -0.00765892444178462, 0.004565707873553038, 0.006460392847657204, -0.0011846901616081595, -0.005067391321063042, -0.001456896192394197, -0.007147787604480982, 0.0008968674228526652, -0.003498127916827798, 0.0027390618342906237, 0.002144624013453722, 0.003260247875005007, 0.0021251519210636616, -0.0014945283764973283, 0.0008000443340279162, -0.002638693666085601, 0.005841882899403572, 0.00012567351222969592, -0.0005748363328166306, -0.0074772643856704235, -0.006139825563877821, 0.006713900249451399, 0.0005294907023198903, -0.0014796860050410032, 0.0007707839831709862, 0.0028894562274217606, -0.006549614015966654, 0.0037176525220274925, 0.005642885807901621, -0.0055716559290885925, -0.007690084166824818, -0.007606128230690956, -0.003972072619944811, 0.0033427432645112276, -0.00393714802339673, 0.006837962660938501, 0.007039101328700781, -0.0011440564412623644, 0.0005648758378811181, -0.0004550798621494323, 0.00042848134762607515, 0.0002770908467937261, -0.0013644108548760414, 0.004067154135555029, 0.006826670840382576]"
Web Programming,"[0.7906362414360046, -0.14737336337566376, -0.30708175897598267, 0.32407885789871216, 1.2295100688934326, -0.08874940127134323, 1.2707931995391846, 0.6138235926628113, -0.08825059235095978, -0.8497279286384583, -0.5131880044937134, 0.35056430101394653, 0.7407827973365784, 0.8310304284095764, -0.2549094259738922, -0.12003272771835327, 0.510317862033844, 0.6644882559776306, 0.4124385714530945, 1.2404474020004272, 0.4170532524585724, -0.9317346215248108, 0.23834721744060516, -0.06189727410674095, -0.8283690214157104, 0.06317690759897232, 0.4870191514492035, 0.4807000756263733, -0.4001021385192871, 1.225979208946228, -0.3752588927745819, -0.6031507253646851, 0.32028964161872864, 0.5158237814903259, -0.12657159566879272, 0.13378532230854034, 0.12964466214179993, 0.0706554651260376, -0.05266439542174339, -0.1278492659330368, 0.02273106947541237, -0.019378922879695892, 0.13386942446231842, -0.2077292948961258, -0.6320146918296814, 0.2076338678598404, -0.16852664947509766, -0.03825581818819046, 0.503703773021698, 0.4390605688095093, -1.2237247228622437, 0.08770601451396942, 0.4394104778766632, 0.20330584049224854, -0.2534286677837372, -0.8365789651870728, 0.39442792534828186, 0.4226498007774353, -0.46345266699790955, 0.5125806331634521, 0.80535888671875, 0.46691858768463135, -0.4956812858581543, 0.06827466189861298]"
Object Oriented Programming,"[0.6310768723487854, 0.2974452078342438, 0.47038158774375916, 0.263159841299057, 0.08645562827587128, 0.05146440118551254, 1.2263519763946533, 0.47742047905921936, -0.4526967406272888, 0.8014256358146667, -0.45231378078460693, -0.5371119379997253, 0.3104702830314636, 0.4650477170944214, -0.27964404225349426, -0.026561984792351723, 0.21335849165916443, 0.42117103934288025, -0.2024824619293213, 0.8484215140342712, -0.12057436257600784, -0.44058144092559814, 0.11636655777692795, 0.19632692635059357, -0.43490859866142273, -0.16358599066734314, -0.5299306511878967, 0.07047116011381149, 0.11633344739675522, 0.4863278269767761, -0.03569411113858223, 0.461868554353714, 0.9699366688728333, 0.45464882254600525, -0.7785773873329163, -0.2273724228143692, -0.37626615166664124, 0.113615483045578, 0.590857744216919, -0.08669986575841904, 0.09766583889722824, 0.30599480867385864, -0.06078488007187843, 0.18716514110565186, -0.3058212697505951, 0.2794042229652405, -0.23593246936798096, -0.2751871943473816, 0.9213671684265137, -0.16204982995986938, -0.10089918971061707, -0.13763566315174103, 0.07566702365875244, 0.23255698382854462, -0.4997650384902954, -0.35807713866233826, -0.20873919129371643, -0.7032808065414429, -0.3794979751110077, -0.34156686067581177, -0.05621003732085228, 0.6185905337333679, 0.24453964829444885, 0.02389901876449585]"
Computer Network,"[0.3810499310493469, 0.3197106122970581, 0.47725385427474976, 0.8055791854858398, 0.63503497838974, -0.23625712096691132, 0.5669793486595154, -0.5713605284690857, 0.3348548412322998, 0.571713387966156, 0.013758239336311817, -0.7848090529441833, 0.14063648879528046, 0.6614646911621094, -0.09041263163089752, -0.15300962328910828, -0.1974509209394455, 0.23695974051952362, -0.8108705282211304, 0.35543200373649597, -0.28690847754478455, -0.4392111003398895, -0.3658292591571808, -0.054072413593530655, -0.4129156470298767, -0.32449808716773987, 0.06920386850833893, -0.18032515048980713, -0.04362981393933296, 0.5174590349197388, 0.7125025391578674, 0.02276693657040596, 0.6093425154685974, 0.2557784914970398, -0.71490478515625, 0.19866444170475006, -0.6353337168693542, -0.12332740426063538, 0.3979315161705017, 0.4563453495502472, 0.6830363273620605, -0.43931281566619873, -0.007888363674283028, -0.5764154195785522, -0.24393846094608307, -0.042019814252853394, -0.6733751893043518, 0.30582261085510254, 0.7567554712295532, 0.04239317774772644, 0.40563350915908813, 0.05677211284637451, -0.04540565609931946, 0.6738905310630798, 0.20117874443531036, -0.5081939101219177, -0.5958466529846191, 0.02941528521478176, -0.23623867332935333, -0.4743844270706177, -0.3660140335559845, 0.31631600856781006, 0.3000237047672272, 0.41340842843055725]"
Graph Theory,"[0.5442618131637573, -0.2264091819524765, 0.10164017975330353, 0.8301534652709961, 0.5781841278076172, -0.2008390575647354, 0.906599760055542, -0.5123118162155151, -0.30320948362350464, 0.7898931503295898, -0.235215425491333, 0.24681685864925385, -0.04437197372317314, -0.17641577124595642, -0.03305941820144653, -0.9554111957550049, 0.3510551452636719, -0.23293350636959076, -0.12204716354608536, 0.8554110527038574, -0.2632823586463928, -1.4550873041152954, 0.3641357421875, -1.043109655380249, 0.009321872144937515, -0.8348981142044067, 0.681766927242279, -1.030640721321106, -0.9469292163848877, 0.34661224484443665, 0.5620020031929016, 0.6197271943092346, 0.8006794452667236, 0.35197484493255615, -0.654053270816803, 0.07439902424812317, -0.5321166515350342, 0.06056339293718338, 0.5680075883865356, -0.0796445980668068, 0.42049476504325867, -0.9359472393989563, -0.03307350352406502, -0.4240804612636566, -0.7796779274940491, 0.1245630532503128, -1.338484525680542, -0.4287266433238983, 0.5305593609809875, 0.3063201308250427, -0.5000467300415039, 0.521929144859314, 0.16965071856975555, -0.22041082382202148, -0.17723986506462097, -1.233608603477478, -0.060351334512233734, 0.02738174982368946, -0.4513959586620331, 0.2786734998226166, 0.25498953461647034, 0.8436063528060913, -0.15200898051261902, 0.7956370711326599]"
Discrete Mathematics,"[0.5783472657203674, -0.23582251369953156, 0.06511357426643372, 0.892486572265625, 0.6135528087615967, -0.25171613693237305, 0.9558845162391663, -0.5412161946296692, -0.28883108496665955, 0.7628559470176697, -0.2368629425764084, 0.24358908832073212, -0.017887189984321594, -0.17715077102184296, -0.04838452860713005, -0.9957268834114075, 0.3832191228866577, -0.25228309631347656, -0.08444854617118835, 0.9138792753219604, -0.23196634650230408, -1.4787518978118896, 0.3467964231967926, -1.0839667320251465, 0.011608347296714783, -0.8339329361915588, 0.7000796794891357, -1.0545024871826172, -0.9647142291069031, 0.37663179636001587, 0.5823858380317688, 0.6020331382751465, 0.8372867107391357, 0.3791424632072449, -0.6525123715400696, 0.06942160427570343, -0.5248923301696777, 0.06301340460777283, 0.5761058330535889, -0.11212886869907379, 0.41763705015182495, -0.9743016958236694, -0.026012588292360306, -0.4712020754814148, -0.8011907339096069, 0.1265435665845871, -1.3808503150939941, -0.4245688319206238, 0.5349873900413513, 0.3338775336742401, -0.535916268825531, 0.5399612188339233, 0.17809656262397766, -0.222166046500206, -0.15420609712600708, -1.2917314767837524, -0.07392784208059311, 0.05045495182275772, -0.4912305772304535, 0.26923510432243347, 0.2732262909412384, 0.8648900389671326, -0.191152885556221, 0.8068082332611084]"
Artificial Intelligence Concepts,"[0.6088062524795532, 0.013893441297113895, 0.15504968166351318, -0.4378405213356018, 0.3973459303379059, 0.14965049922466278, 1.235019564628601, 0.15023905038833618, -0.34715861082077026, 0.3474937379360199, -0.5449934601783752, 0.20380425453186035, 0.11624738574028015, 0.09361105412244797, 0.34772294759750366, 0.008244216442108154, -0.30415835976600647, 0.17283859848976135, -0.32010743021965027, 0.3728145658969879, 0.006307890173047781, -0.6467313766479492, 0.7025166749954224, 0.2550860345363617, 0.09206166118383408, -0.1006651222705841, 0.048791225999593735, 0.3631245195865631, -0.26041173934936523, 0.5191347002983093, -0.07828999310731888, 0.4286653399467468, 0.4181196689605713, 0.16314400732517242, -0.0719187781214714, 0.4766983389854431, -0.6919657588005066, -0.4672923982143402, 0.04657227173447609, -0.07999176532030106, 0.3962192237377167, 0.32914069294929504, 0.20908014476299286, -0.17935922741889954, -0.3165951669216156, -0.2930234968662262, 0.135392427444458, -0.08665735274553299, 0.43378499150276184, 0.6998574137687683, 0.22448323667049408, -0.23670534789562225, -0.4336058795452118, -0.07621996849775314, -0.2521049380302429, -0.5296276807785034, -0.4371851086616516, 0.012710759416222572, -0.49173763394355774, -0.3908291161060333, 0.4348151981830597, 1.0024493932724, -0.16303126513957977, 0.5833831429481506]"
Software Development Principles,"[0.6644347906112671, 0.35818684101104736, 0.06136700510978699, 0.3547792434692383, 0.3809874653816223, -0.35743358731269836, 0.3410623073577881, 0.1656484156847, -0.3389033079147339, 0.8524689674377441, -0.5049518346786499, -0.07698167115449905, 0.3767692744731903, 0.16745421290397644, -0.6575061678886414, 0.24088700115680695, 0.08010291308164597, 0.3271770179271698, -0.9663347601890564, 0.4791851043701172, 0.2944883406162262, -0.5577700138092041, 0.8313391208648682, -0.10843780636787415, -0.4206670820713043, 0.4431088864803314, 0.29410240054130554, 0.33340984582901, -0.3451515734195709, 0.3776961863040924, 0.30964982509613037, 0.11575759202241898, -0.03441021963953972, 0.7079939246177673, -0.574766218662262, 0.3861508369445801, -0.18020318448543549, -0.6616916060447693, 0.6005836129188538, 0.0880037397146225, -0.1316525638103485, -0.07249961793422699, 0.2894469201564789, -0.2026391178369522, 0.017262842506170273, 0.04249996319413185, -0.3638823926448822, -0.5638489127159119, 0.1796395480632782, -0.14608347415924072, -0.06739408522844315, -0.010831878520548344, 0.6160764098167419, 0.15499158203601837, 0.2084709107875824, -0.18664442002773285, -0.2182951122522354, -0.03269980102777481, -0.49573302268981934, -0.02552688680589199, 0.600523829460144, 0.4003915786743164, -0.3695437014102936, 0.43904387950897217]"
Network Programming,"[0.33568868041038513, 0.1748582124710083, 0.4811132848262787, 0.6439889073371887, 0.4718919098377228, -0.17578338086605072, 0.5501236915588379, -0.3320332169532776, 0.25450918078422546, 0.39592522382736206, -0.0523100271821022, -0.7293490171432495, 0.09723469614982605, 0.5903874635696411, -0.1305045783519745, -0.12557435035705566, 0.035575319081544876, 0.2760774791240692, -0.5425417423248291, 0.4088401794433594, -0.27238088846206665, -0.4003189504146576, -0.2809268832206726, 0.016315696761012077, -0.3304765522480011, -0.2850815951824188, -0.05749216675758362, -0.2124485969543457, -0.14267155528068542, 0.4256746768951416, 0.4934290945529938, 0.09974925220012665, 0.6019369959831238, 0.1986187845468521, -0.7105332612991333, 0.18752136826515198, -0.5186792016029358, 0.040131594985723495, 0.30920255184173584, 0.3890560567378998, 0.5253649353981018, -0.3082212805747986, -0.00027187675004824996, -0.4422254264354706, -0.22854241728782654, 0.044784627854824066, -0.517373263835907, 0.2355285882949829, 0.8003088235855103, -0.020629839971661568, 0.23793147504329681, 0.08010496199131012, -0.10362617671489716, 0.5059333443641663, 0.04007987678050995, -0.5342908501625061, -0.3913457989692688, -0.03207778558135033, -0.2586028277873993, -0.3729357421398163, -0.2469317466020584, 0.33372926712036133, 0.3416859209537506, 0.3108372092247009]"
Probabilistic and Statistic,"[0.3896266222000122, -0.10799387097358704, -0.4427736699581146, -0.043010782450437546, 0.2984783351421356, -0.2731194794178009, 1.0590999126434326, -0.6749550104141235, -0.09228207916021347, 0.16914434731006622, -0.3709366023540497, 0.18284986913204193, 0.4571381211280823, -0.33754345774650574, 0.09393831342458725, 0.08425972610712051, -0.3366810083389282, -0.3470691442489624, -0.25924792885780334, 0.4741508364677429, 0.13949328660964966, -0.2740369737148285, 0.32165178656578064, -0.14732666313648224, 0.42367759346961975, -0.24005573987960815, 0.2553565502166748, 0.1373128890991211, -0.11145512014627457, 0.6103397011756897, 0.05125627666711807, 0.10022033005952835, 0.2545187175273895, -0.12325315177440643, 0.4499231278896332, 0.36166098713874817, -0.5006101131439209, -0.022553855553269386, 0.2904288172721863, -0.3486054837703705, 0.29560452699661255, 0.15710344910621643, 0.5496633052825928, -0.48650819063186646, -0.44181397557258606, -0.22859995067119598, 0.03603144362568855, -0.3768659830093384, 0.12467813491821289, 0.06486934423446655, -0.27902892231941223, -0.5402358174324036, -0.28294187784194946, -0.06513725966215134, -0.200163334608078, -0.40160319209098816, -0.16399337351322174, 0.156063050031662, -0.10170075297355652, -0.3322758674621582, 0.023365873843431473, 0.669174075126648, -0.8366323113441467, 0.26361531019210815]"
Automata,"[0.5633906722068787, -0.23781155049800873, 0.09632005542516708, 0.8722752332687378, 0.5740317106246948, -0.23176945745944977, 0.9323647022247314, -0.5155014991760254, -0.30882957577705383, 0.7794733643531799, -0.24088141322135925, 0.2577208876609802, -0.048480283468961716, -0.1922481507062912, -0.04355238005518913, -1.0256282091140747, 0.3896264433860779, -0.24981513619422913, -0.08934745192527771, 0.8790243864059448, -0.25211644172668457, -1.4859758615493774, 0.37668177485466003, -1.0843570232391357, 0.03122103400528431, -0.8640136122703552, 0.7082647681236267, -1.0912710428237915, -0.9781924486160278, 0.3546185791492462, 0.564090371131897, 0.6416356563568115, 0.7994235157966614, 0.36645016074180603, -0.6886752843856812, 0.08065816760063171, -0.5091949701309204, 0.06249765679240227, 0.5724013447761536, -0.11267035454511642, 0.39365315437316895, -0.9883970022201538, -0.05521012097597122, -0.44043445587158203, -0.8032187819480896, 0.15012620389461517, -1.3832534551620483, -0.4579465389251709, 0.5213930010795593, 0.34230533242225647, -0.5261009335517883, 0.5550423860549927, 0.1774614304304123, -0.2542276084423065, -0.18012507259845734, -1.2802385091781616, -0.0586487278342247, 0.04288530722260475, -0.4889425039291382, 0.2904815673828125, 0.28771719336509705, 0.8562617301940918, -0.17343783378601074, 0.805413007736206]"
